Time,THR,RPM,SSM,TWAT,TAIR,AFR,AFR_WBL,AFR_WBL/AFR,COEFF,DGTC_RICH,DGTC_LEAN,DGTC_PRESS,UOZ,FAZ,INJ,InjDC,AIR,GBC,SPD,ErrCnt,Err,fSTOP,fXX,fXXFix,fPOW,fFUELOFF,fDETZONE,fDET,fADS,fLAMREG,fLAM,fLEARN,PXX_ZONE,PRESS,PRESS_RT,KGBC,KGBC_DAD,Marker,fIgnCut,fFlatShift,RawKnock,KnockSPAttnr,KnockSPFilterFreq,KnockSPBaseADC,KnockAttnr,KnockAttnrCorr,RPM40,RPM10,DFRXX,JUFRXX,JFRXX1,JFRXX2,Tchrg,Ktchrg,TBL_UOZ,TBL_AFR,AFR_WBL_A,GBC_MAF,GBC_MAP,AIR_MAF,AIR_MAP,USM,Ubat,DiffFPress,KGTC_DFP,ADCmaf,ADCmap,ADCtwat,ADCtair,ADCtps,ADClam,Gear,ErrEx1,ErrEx2,ErrEx3,Knock,C1Rtrd,C2Rtrd,C3Rtrd,C4Rtrd,C5Rtrd,C6Rtrd,C7Rtrd,C8Rtrd,IWGDC,WGDC,IgnMode,OvercurrCnt,LaunchTime,LaunchRPM,CutOffRPM,CutOffDelta,Noise,ComKnockThld,C1Knock,C2Knock,C3Knock,C4Knock,C5Knock,C6Knock,C7Knock,C8Knock,C1KnockThld,C2KnockThld,C3KnockThld,C4KnockThld,C5KnockThld,C6KnockThld,C7KnockThld,C8KnockThld
0.640,0,794,21,77,36,14.7,13.26,0.902,1,0,0,0,14,312,2.512,1,20,138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,65,0.254,26.5,14.18,13.26,0,138,0,20,21,13.258,353.28,1,0.645,0.645,0.723,3.203,0.645,0,0,,,,44,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,73,54,78,57,44,44,0,39321,191,151,230,157,118,143,26222,39321
0.700,0,800,21,77,36,14.7,13.21,0.898,1,0,0,0,13,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,65,0.254,26.5,14.18,13.21,0,138.17,0,20,21,13.258,353.28,1,0.664,0.664,0.723,3.203,0.645,0,0,,,,64,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,64,54,78,57,44,51,0,39321,188,151,230,157,118,143,26222,39321
0.760,0,800,21,77,36,14.7,13.21,0.898,1,0,0,0,13,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,65,0.254,26.5,14.18,13.21,0,138.17,0,20,21,13.258,353.28,1,0.645,0.645,0.723,3.203,0.645,0,0,,,,47,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,64,52,85,47,44,51,0,39321,188,151,230,157,118,143,26222,39321
0.820,0,800,21,77,36,14.7,13.21,0.898,1,0,0,0,13,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,65,0.254,26.5,14.18,13.21,0,138.17,0,20,21,13.258,353.28,1,0.645,0.645,0.723,3.203,0.645,0,0,,,,47,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,64,52,85,47,49,47,0,39321,188,151,230,157,118,143,26222,39321
0.880,0,796,21,77,36,14.7,13.15,0.895,1,0,0,0,13,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,65,0.254,26.5,14.18,13.15,0,138.17,0,20,21,13.258,353.28,1,0.645,0.645,0.723,3.203,0.645,0,0,,,,54,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,74,54,85,47,49,47,0,39321,188,151,230,157,118,143,26222,39321
0.940,0,791,21,77,36,14.7,13.15,0.895,1,0,0,0,14,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,65,0.254,26.5,14.18,13.15,0,138.17,0,20,21,13.258,353.28,1,0.645,0.645,0.723,3.203,0.645,0,0,,,,35,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,74,54,88,51,35,47,0,39321,188,151,233,154,118,143,26222,39321
1.000,0,793,21,77,36,14.7,13.09,0.891,1,0,0,0,14,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,65,0.254,26.5,14.18,13.09,0,138.17,0,20,21,13.258,353.28,1,0.645,0.645,0.723,3.203,0.645,0,0,,,,66,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,66,54,88,51,35,51,0,39321,188,151,233,154,118,143,26222,39321
1.060,0,793,21,77,36,14.7,13.03,0.887,1,0,0,0,14,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,65,0.254,26.5,14.18,13.03,0,138.17,0,20,21,13.258,353.28,1,0.664,0.664,0.723,3.203,0.645,0,0,,,,47,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,66,56,83,47,35,51,0,39321,188,151,233,154,118,143,26222,39321
1.120,0,791,21,77,36,14.7,13.09,0.891,1,0,0,0,14,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,65,0.254,26.5,14.18,13.09,0,138.17,0,20,21,13.258,353.28,1,0.645,0.645,0.723,3.203,0.645,0,0,,,,51,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,66,56,83,47,45,51,0,39321,188,151,233,154,118,143,26222,39321
1.180,0,799,21,77,36,14.7,13.03,0.887,1,0,0,0,13,312,2.512,1,20,138.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,35,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,65,0.254,26.5,14.18,13.03,0,138.17,0,20,21,13.258,353.28,1,0.664,0.664,0.723,3.203,0.645,0,0,,,,56,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,69,56,83,47,45,51,0,39321,188,151,233,154,118,143,26222,39321
