Time,THR,RPM,SSM,TWAT,TAIR,AFR,AFR_WBL,AFR_WBL/AFR,COEFF,DGTC_RICH,DGTC_LEAN,DGTC_PRESS,UOZ,FAZ,INJ,InjDC,AIR,GBC,SPD,ErrCnt,Err,fSTOP,fXX,fXXFix,fPOW,fFUELOFF,fDETZONE,fDET,fADS,fLAMREG,fLAM,fLEARN,PXX_ZONE,PRESS,PRESS_RT,KGBC,KGBC_DAD,Marker,fIgnCut,fFlatShift,RawKnock,KnockSPAttnr,KnockSPFilterFreq,KnockSPBaseADC,KnockAttnr,KnockAttnrCorr,RPM40,RPM10,DFRXX,JUFRXX,JFRXX1,JFRXX2,Tchrg,Ktchrg,TBL_UOZ,TBL_AFR,AFR_WBL_A,GBC_MAF,GBC_MAP,AIR_MAF,AIR_MAP,USM,Ubat,DiffFPress,KGTC_DFP,ADCmaf,ADCmap,ADCtwat,ADCtair,ADCtps,ADClam,Gear,ErrEx1,ErrEx2,ErrEx3,Knock,C1Rtrd,C2Rtrd,C3Rtrd,C4Rtrd,C5Rtrd,C6Rtrd,C7Rtrd,C8Rtrd,IWGDC,WGDC,IgnMode,OvercurrCnt,LaunchTime,LaunchRPM,CutOffRPM,CutOffDelta,Noise,ComKnockThld,C1Knock,C2Knock,C3Knock,C4Knock,C5Knock,C6Knock,C7Knock,C8Knock,C1KnockThld,C2KnockThld,C3KnockThld,C4KnockThld,C5KnockThld,C6KnockThld,C7KnockThld,C8KnockThld
0.640,0,802,21,81,50,14.7,13.57,0.923,1,0,0,0,13,312,2.512,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,72,0.254,26.5,13.84,13.38,0,136.5,0,20,21,13.112,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,74,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,74,52,88,61,54,49,0,39321,180,160,241,168,157,135,26222,39321
0.700,0,799,21,81,50,14.7,13.57,0.923,1,0,0,0,13,312,2.512,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,72,0.254,26.5,13.84,13.38,0,136.5,0,20,21,13.112,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,56,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,74,59,85,56,54,49,0,39321,180,160,241,168,157,135,26222,39321
0.760,0,800,21,81,50,14.7,13.57,0.923,1,0,0,0,13,312,2.512,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,72,0.254,26.5,13.84,13.38,0,136.5,0,20,21,13.112,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,51,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,74,59,85,56,57,51,0,39321,180,160,241,168,157,135,26222,39321
0.820,0,802,21,81,50,14.7,13.57,0.923,1,0,0,0,13,312,2.512,1,20,136.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.6,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,72,0.254,26.5,13.84,13.32,0,136.33,0,20,21,13.185,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,100,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,64,59,100,56,57,51,0,39321,180,160,244,168,157,135,26222,39321
0.880,0,801,21,81,50,14.7,13.57,0.923,1,0,0,0,13,312,2.504,1,20,136.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,72,0.254,26.5,13.84,13.32,0,136.33,0,20,21,13.185,353.28,1,0.645,0.645,0.645,2.461,0.645,0.02,0,,,,56,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,64,59,100,54,56,51,0,39321,180,160,244,168,157,135,26222,39321
0.940,0,802,21,81,50,14.7,13.57,0.923,1,0,0,0,13,312,2.496,1,20,136.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.6,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,72,0.254,26.5,13.84,13.26,0,136.17,0,20,21,13.185,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,81,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,81,59,100,54,56,52,0,39321,182,160,244,168,157,135,26222,39321
1.000,0,796,21,81,50,14.7,13.57,0.923,1,0,0,0,13,312,2.496,1,20,136.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.6,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,72,0.254,26.5,13.84,13.26,0,136.17,0,20,21,13.112,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,57,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,81,59,93,57,56,52,0,39321,182,160,247,168,157,135,26222,39321
1.120,0,786,21,81,50,14.7,13.54,0.921,1,0,0,0,14,312,2.512,1,19,136.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,72,0.254,26.5,13.84,13.21,0,136.33,0,19,21,13.112,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,86,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,52,54,86,57,54,45,0,39321,180,160,247,168,154,135,26222,39321
1.180,0,788,21,81,50,14.7,13.54,0.921,1,0,0,0,14,312,2.512,1,19,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,72,0.254,26.5,13.84,13.15,0,136.5,0,19,21,13.112,353.28,1,0.625,0.625,0.645,2.461,0.645,0.02,0,,,,71,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,52,54,86,61,71,45,0,39321,180,160,247,168,157,135,26222,39321
1.240,0,793,21,81,50,14.7,13.54,0.921,1,0,0,0,14,312,2.504,1,19,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,72,0.254,26.5,13.84,13.15,0,136.5,0,19,21,13.185,353.28,1,0.645,0.645,0.645,2.461,0.645,0.02,0,,,,61,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,61,54,86,61,71,52,0,39321,180,160,247,168,157,135,26222,39321
