Time,THR,RPM,SSM,TWAT,TAIR,AFR,AFR_WBL,AFR_WBL/AFR,COEFF,DGTC_RICH,DGTC_LEAN,DGTC_PRESS,UOZ,FAZ,INJ,InjDC,AIR,GBC,SPD,ErrCnt,Err,fSTOP,fXX,fXXFix,fPOW,fFUELOFF,fDETZONE,fDET,fADS,fLAMREG,fLAM,fLEARN,PXX_ZONE,PRESS,PRESS_RT,KGBC,KGBC_DAD,Marker,fIgnCut,fFlatShift,RawKnock,KnockSPAttnr,KnockSPFilterFreq,KnockSPBaseADC,KnockAttnr,KnockAttnrCorr,RPM40,RPM10,DFRXX,JUFRXX,JFRXX1,JFRXX2,Tchrg,Ktchrg,TBL_UOZ,TBL_AFR,AFR_WBL_A,GBC_MAF,GBC_MAP,AIR_MAF,AIR_MAP,USM,Ubat,DiffFPress,KGTC_DFP,ADCmaf,ADCmap,ADCtwat,ADCtair,ADCtps,ADClam,Gear,ErrEx1,ErrEx2,ErrEx3,Knock,C1Rtrd,C2Rtrd,C3Rtrd,C4Rtrd,C5Rtrd,C6Rtrd,C7Rtrd,C8Rtrd,IWGDC,WGDC,IgnMode,OvercurrCnt,LaunchTime,LaunchRPM,CutOffRPM,CutOffDelta,Noise,ComKnockThld,C1Knock,C2Knock,C3Knock,C4Knock,C5Knock,C6Knock,C7Knock,C8Knock,C1KnockThld,C2KnockThld,C3KnockThld,C4KnockThld,C5KnockThld,C6KnockThld,C7KnockThld,C8KnockThld
0.540,0,791,21,86,55,14.7,13.38,0.91,1,0,0,0,14,312,2.544,1,19,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,77,0.254,26.5,14.3,12.86,0,136.5,0,19,21,12.819,353.28,1,0.625,0.625,0.566,2.207,0.645,0.02,0,,,,47,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,93,61,42,79,47,47,0,39321,241,165,129,222,115,149,26222,39321
0.600,0,794,21,86,55,14.7,13.38,0.91,1,0,0,0,14,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,77,0.254,26.5,14.3,12.69,0,136.5,0,20,21,12.819,353.28,1,0.625,0.625,0.566,2.207,0.645,0.02,0,,,,59,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,81,59,42,79,47,47,0,39321,241,165,129,222,115,149,26222,39321
0.660,0,800,21,86,55,14.7,13.38,0.91,1,0,0,0,13,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,77,0.254,26.5,14.3,12.75,0,136.5,0,20,21,12.819,353.28,1,0.645,0.645,0.566,2.207,0.645,0.02,0,,,,61,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,81,59,45,74,61,47,0,39321,241,165,129,219,120,149,26222,39321
0.720,0,799,21,86,55,14.7,13.38,0.91,1,0,0,0,13,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,77,0.254,26.5,14.3,12.75,0,136.5,0,20,21,12.819,353.28,1,0.625,0.625,0.566,2.207,0.645,0.02,0,,,,96,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,96,59,45,74,61,52,0,39321,241,165,129,219,120,149,26222,39321
0.780,0,798,21,86,55,14.7,13.38,0.91,1,0,0,0,13,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,77,0.254,26.5,14.3,12.69,0,136.5,0,20,21,12.819,353.28,1,0.645,0.645,0.566,2.207,0.645,0.02,0,,,,73,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,96,56,44,73,61,52,0,39321,241,165,129,219,120,149,26222,39321
0.840,0,801,21,86,55,14.7,13.41,0.912,1,0,0,0,13,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,77,0.254,26.5,14.3,12.69,0,136.5,0,20,21,12.819,353.28,1,0.625,0.625,0.566,2.207,0.645,0.02,0,,,,47,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,96,56,44,73,52,47,0,39321,241,165,129,219,120,149,26222,39321
0.900,0,794,21,86,55,14.7,13.41,0.912,1,0,0,0,14,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,77,0.254,26.5,14.3,12.81,0,136.5,0,20,21,12.819,353.28,1,0.625,0.625,0.566,2.207,0.645,0.02,0,,,,61,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,93,61,44,73,52,47,0,39321,241,165,129,219,120,149,26222,39321
0.960,0,797,21,86,55,14.7,13.44,0.914,1,0,0,0,13,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,77,0.254,26.5,14.3,12.81,0,136.5,0,20,21,12.819,353.28,1,0.625,0.625,0.566,2.207,0.645,0.02,0,,,,44,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,93,61,42,73,44,47,0,39321,241,165,129,219,120,149,26222,39321
1.020,0,800,21,86,55,14.7,13.44,0.914,1,0,0,0,13,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,77,0.254,26.5,14.3,12.75,0,136.5,0,20,21,12.819,353.28,1,0.625,0.625,0.566,2.207,0.645,0.02,0,,,,91,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,91,61,42,73,44,54,0,39321,241,165,129,219,120,149,26222,39321
1.080,0,798,21,86,55,14.7,13.44,0.914,1,0,0,0,13,312,2.544,1,20,136.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52.82,34,0.344,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,77,0.254,26.5,14.3,12.81,0,136.5,0,20,21,12.819,353.28,1,0.645,0.645,0.566,2.207,0.645,0.02,0,,,,68,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,257,1429,91,56,44,68,44,54,0,39321,241,165,129,216,120,149,26222,39321
