Time,THR,RPM,SSM,TWAT,TAIR,AFR,AFR_WBL,AFR_WBL/AFR,COEFF,DGTC_RICH,DGTC_LEAN,DGTC_PRESS,UOZ,FAZ,INJ,InjDC,AIR,GBC,SPD,ErrCnt,Err,fSTOP,fXX,fXXFix,fPOW,fFUELOFF,fDETZONE,fDET,fADS,fLAMREG,fLAM,fLEARN,PXX_ZONE,PRESS,PRESS_RT,KGBC,KGBC_DAD,Marker,fIgnCut,fFlatShift,RawKnock,KnockSPAttnr,KnockSPFilterFreq,KnockSPBaseADC,KnockAttnr,KnockAttnrCorr,RPM40,RPM10,DFRXX,JUFRXX,JFRXX1,JFRXX2,Tchrg,Ktchrg,TBL_UOZ,TBL_AFR,AFR_WBL_A,GBC_MAF,GBC_MAP,AIR_MAF,AIR_MAP,USM,Ubat,DiffFPress,KGTC_DFP,ADCmaf,ADCmap,ADCtwat,ADCtair,ADCtps,ADClam,Gear,ErrEx1,ErrEx2,ErrEx3,Knock,C1Rtrd,C2Rtrd,C3Rtrd,C4Rtrd,C5Rtrd,C6Rtrd,C7Rtrd,C8Rtrd,IWGDC,WGDC,IgnMode,OvercurrCnt,LaunchTime,LaunchRPM,CutOffRPM,CutOffDelta,Noise,ComKnockThld,C1Knock,C2Knock,C3Knock,C4Knock,C5Knock,C6Knock,C7Knock,C8Knock,C1KnockThld,C2KnockThld,C3KnockThld,C4KnockThld,C5KnockThld,C6KnockThld,C7KnockThld,C8KnockThld
0.620,0,807,24,82,43,14.7,16.9,1.15,1,0,0,0,12.5,312,2.68,1,21,144.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.12,41,0.32,1,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,71,0.254,21,13.95,15.96,0,144.33,0,21,24,12.526,345.6,1,0.762,0.762,0.625,2.832,0.254,0.02,0,,,,61,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,83,61,62,54,62,61,0,39321,236,143,191,146,188,165,26222,39321
0.680,0,800,24,82,43,14.7,16.9,1.15,1,0,0,0,13,312,2.672,1,21,144.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.12,41,0.32,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,71,0.254,21,13.95,16.02,0,144.17,0,21,24,12.526,345.6,1,0.781,0.781,0.625,2.832,0.254,0.02,0,,,,54,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,83,61,66,54,62,61,0,39321,236,143,191,146,188,165,26222,39321
0.740,0,803,24,82,43,14.7,16.9,1.15,1,0,0,0,13,312,2.68,1,21,144.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.12,41,0.32,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,71,0.254,21,13.95,16.02,0,144.33,0,21,24,12.526,345.6,1,0.762,0.762,0.625,2.832,0.254,0.02,0,,,,66,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,83,61,66,54,71,66,0,39321,236,143,191,146,188,165,26222,39321
0.800,0,805,24,82,43,14.7,16.9,1.15,1,0,0,0,12.5,312,2.68,1,21,144.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.12,41,0.32,1,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,71,0.254,21,13.95,16.14,0,144.33,0,21,24,12.526,345.6,1,0.762,0.762,0.625,2.832,0.254,0.02,0,,,,73,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,83,51,73,54,71,66,0,39321,236,143,194,146,188,165,26222,39321
0.860,0,789,24,82,43,14.7,16.98,1.155,1,0,0,0,14,312,2.68,1,21,144.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.34,41,0.32,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,71,0.254,21,13.95,16.08,0,144.5,0,21,24,12.526,345.6,1,0.781,0.781,0.625,2.832,0.254,0.02,0,,,,73,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,83,51,73,52,73,66,0,39321,236,143,194,146,188,165,26222,39321
0.920,0,798,24,82,43,14.7,16.98,1.155,1,0,0,0,13,312,2.68,1,21,144.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.34,41,0.32,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,71,0.254,21,13.95,16.08,0,144.5,0,21,24,12.526,345.6,1,0.762,0.762,0.625,2.832,0.254,0.02,0,,,,56,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,74,56,73,52,73,57,0,39321,233,146,194,146,188,165,26222,39321
0.980,0,800,24,82,43,14.7,16.98,1.155,1,0,0,0,13,312,2.68,1,21,144.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.57,41,0.32,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,71,0.254,21,13.95,16.14,0,144.67,0,21,24,12.526,345.6,1,0.781,0.781,0.625,2.832,0.254,0.02,0,,,,61,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,74,56,73,61,73,57,0,39321,233,146,194,146,188,165,26222,39321
1.040,0,805,24,82,43,14.7,16.98,1.155,1,0,0,0,12.5,312,2.68,1,21,144.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.34,41,0.32,1,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,71,0.254,21,13.95,16.14,0,144.83,0,21,24,12.526,345.6,1,0.762,0.762,0.625,2.832,0.254,0.02,0,,,,56,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,74,56,73,61,61,56,0,39321,233,146,194,146,188,165,26222,39321
1.100,0,810,24,82,43,14.7,16.98,1.155,1,0,0,0,12.5,312,2.68,1,21,144.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.34,41,0.32,1,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,71,0.254,21,13.95,16.14,0,144.67,0,21,24,12.526,345.6,1,0.762,0.762,0.625,2.832,0.254,0.02,0,,,,68,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,85,49,68,61,61,56,0,39321,233,146,194,146,188,165,26222,39321
1.160,0,794,24,82,43,14.7,16.98,1.155,1,0,0,0,14,312,2.68,1,21,144.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.34,41,0.32,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,71,0.254,21,13.95,16.02,0,144.67,0,21,24,12.526,345.6,1,0.781,0.781,0.625,2.832,0.254,0.02,0,,,,74,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,85,49,68,61,74,56,0,39321,233,146,194,146,191,165,26222,39321
1.220,0,799,24,82,43,14.7,16.98,1.155,1,0,0,0,13,312,2.68,1,21,144.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.34,41,0.32,1,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,71,0.254,21,13.95,16.02,0,144.67,0,21,24,12.526,345.6,1,0.781,0.781,0.625,2.832,0.254,0.02,0,,,,52,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,68,52,68,61,74,57,0,39321,230,146,194,146,191,165,26222,39321
1.280,0,794,24,82,43,14.7,16.98,1.155,1,0,0,0,14,312,2.68,1,21,144.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.57,41,0.32,1,0,0,0,0,0,0,0,0,0,800,790,800,800,1090,1400,71,0.254,21,13.95,16.02,0,144.83,0,21,24,12.526,345.6,1,0.781,0.781,0.625,2.832,0.254,0.02,0,,,,59,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,27,81,450,68,52,64,59,74,57,0,39321,230,146,191,149,191,165,26222,39321
