Time,THR,RPM,SSM,TWAT,TAIR,AFR,AFR_WBL,AFR_WBL/AFR,COEFF,DGTC_RICH,DGTC_LEAN,DGTC_PRESS,UOZ,FAZ,INJ,InjDC,AIR,GBC,SPD,ErrCnt,Err,fSTOP,fXX,fXXFix,fPOW,fFUELOFF,fDETZONE,fDET,fADS,fLAMREG,fLAM,fLEARN,PXX_ZONE,PRESS,PRESS_RT,KGBC,KGBC_DAD,Marker,fIgnCut,fFlatShift,RawKnock,KnockSPAttnr,KnockSPFilterFreq,KnockSPBaseADC,KnockAttnr,KnockAttnrCorr,RPM40,RPM10,DFRXX,JUFRXX,JFRXX1,JFRXX2,Tchrg,Ktchrg,TBL_UOZ,TBL_AFR,AFR_WBL_A,GBC_MAF,GBC_MAP,AIR_MAF,AIR_MAP,USM,Ubat,DiffFPress,KGTC_DFP,ADCmaf,ADCmap,ADCtwat,ADCtair,ADCtps,ADClam,Gear,ErrEx1,ErrEx2,ErrEx3,Knock,C1Rtrd,C2Rtrd,C3Rtrd,C4Rtrd,C5Rtrd,C6Rtrd,C7Rtrd,C8Rtrd,IWGDC,WGDC,IgnMode,OvercurrCnt,LaunchTime,LaunchRPM,CutOffRPM,CutOffDelta,Noise,ComKnockThld,C1Knock,C2Knock,C3Knock,C4Knock,C5Knock,C6Knock,C7Knock,C8Knock,C1KnockThld,C2KnockThld,C3KnockThld,C4KnockThld,C5KnockThld,C6KnockThld,C7KnockThld,C8KnockThld
1.000,0,752,15,81,43,14.7,14.85,1.01,1,0,0,0,15,312,2.272,1,17,125.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.05,34,0.375,0.961,0,0,0,0,0,0,0,0,0,760,750,750,750,1020,1310,70,0.25,20,14.7,15.5,0,125.67,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,36,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,81,36,88,38,33,28,0,39321,222,123,227,98,92,78,26222,39321
1.060,0,743,15,81,43,14.7,14.82,1.008,1,0,0,0,16,312,2.272,1,17,125.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.05,34,0.375,0.961,0,0,0,0,0,0,0,0,0,760,740,750,750,1020,1310,70,0.25,20,14.7,15.5,0,125.83,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,27,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,81,36,73,27,33,28,0,39321,222,123,227,95,92,78,26222,39321
1.120,0,745,15,81,43,14.7,14.82,1.008,1,0,0,0,15,312,2.272,1,17,125.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.05,34,0.375,0.961,0,0,0,0,0,0,0,0,0,760,750,750,750,1020,1310,70,0.25,20,14.7,15.56,0,125.83,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,84,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,84,36,73,27,35,33,0,39321,222,123,227,95,95,78,26222,39321
1.180,0,747,15,81,43,14.7,14.82,1.008,1,0,0,0,15,312,2.272,1,17,125.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.05,34,0.375,0.961,0,0,0,0,0,0,0,0,0,760,750,750,750,1020,1310,70,0.25,20,14.7,15.62,0,125.83,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,80,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,84,40,80,27,35,33,0,39321,222,123,227,95,95,78,26222,39321
1.240,0,738,15,81,43,14.7,14.82,1.008,1,0,0,0,16,312,2.28,1,17,126.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.05,34,0.383,0.961,0,0,0,0,0,0,0,0,0,720,740,750,750,1020,1310,70,0.25,20,14.7,15.68,0,126.5,0,17,15,13.698,353.28,1,0.664,0.664,0.645,2.852,0.254,0.02,0,,,,33,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,84,40,80,28,33,33,0,39321,222,123,227,95,92,78,26222,39321
1.300,0,736,15,81,43,14.7,14.82,1.008,1,0,0,0,16,312,2.304,1,17,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.27,35,0.383,0.969,0,0,0,0,0,0,0,0,0,720,740,750,750,1020,1310,70,0.25,20,14.7,15.73,0,128,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,83,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,83,40,80,28,33,32,0,39321,222,123,227,95,92,81,26222,39321
1.360,0,737,15,81,43,14.7,14.82,1.008,1,0,0,0,16,312,2.32,1,17,129.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.27,35,0.383,0.969,0,0,0,0,0,0,0,0,0,720,740,750,750,1020,1310,70,0.25,20,14.7,15.68,0,129.17,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,33,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,83,36,64,33,33,32,0,39321,222,120,225,95,92,81,26222,39321
1.420,0,744,15,81,43,14.7,14.82,1.008,1,0,0,0,16,312,2.32,1,17,129.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.27,35,0.383,0.969,0,0,0,0,0,0,0,0,0,760,740,750,750,1020,1310,70,0.25,20.5,14.7,15.68,0,129.5,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,33,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,83,36,64,33,40,33,0,39321,222,120,225,95,95,81,26222,39321
1.480,0,753,15,81,43,14.7,14.82,1.008,1,0,0,0,15,312,2.312,1,17,128.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.27,35,0.375,0.969,0,0,0,0,0,0,0,0,0,760,750,750,750,1020,1310,70,0.25,20,14.7,15.68,0,128.5,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,38,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,89,38,64,33,40,33,0,39321,225,118,225,95,95,81,26222,39321
1.540,0,750,15,81,43,14.7,14.85,1.01,1,0,0,0,15,312,2.304,1,17,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.27,35,0.375,0.969,0,0,0,0,0,0,0,0,0,760,750,750,750,1020,1310,70,0.25,20,14.7,15.73,0,128,0,17,15,13.698,353.28,1,0.645,0.645,0.645,2.852,0.254,0.02,0,,,,32,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,29,45,250,89,38,86,32,40,33,0,39321,225,118,227,95,95,81,26222,39321
