Time,THR,RPM,SSM,TWAT,TAIR,AFR,AFR_WBL,AFR_WBL/AFR,COEFF,DGTC_RICH,DGTC_LEAN,DGTC_PRESS,UOZ,FAZ,INJ,InjDC,AIR,GBC,SPD,ErrCnt,Err,fSTOP,fXX,fXXFix,fPOW,fFUELOFF,fDETZONE,fDET,fADS,fLAMREG,fLAM,fLEARN,PXX_ZONE,PRESS,PRESS_RT,KGBC,KGBC_DAD,Marker,fIgnCut,fFlatShift,RawKnock,KnockSPAttnr,KnockSPFilterFreq,KnockSPBaseADC,KnockAttnr,KnockAttnrCorr,RPM40,RPM10,DFRXX,JUFRXX,JFRXX1,JFRXX2,Tchrg,Ktchrg,TBL_UOZ,TBL_AFR,AFR_WBL_A,GBC_MAF,GBC_MAP,AIR_MAF,AIR_MAP,USM,Ubat,DiffFPress,KGTC_DFP,ADCmaf,ADCmap,ADCtwat,ADCtair,ADCtps,ADClam,Gear,ErrEx1,ErrEx2,ErrEx3,Knock,C1Rtrd,C2Rtrd,C3Rtrd,C4Rtrd,C5Rtrd,C6Rtrd,C7Rtrd,C8Rtrd,IWGDC,WGDC,IgnMode,OvercurrCnt,LaunchTime,LaunchRPM,CutOffRPM,CutOffDelta,Noise,ComKnockThld,C1Knock,C2Knock,C3Knock,C4Knock,C5Knock,C6Knock,C7Knock,C8Knock,C1KnockThld,C2KnockThld,C3KnockThld,C4KnockThld,C5KnockThld,C6KnockThld,C7KnockThld,C8KnockThld
0.540,0,813,16,82,37,14.7,14.6,0.993,1,0,0,0,14.5,312,2.416,1,20,134.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.62,0,134.17,0,20,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,64,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,64,34,27,40,52,42,0,39321,202,104,78,106,132,123,26222,39321
0.600,0,810,16,82,37,14.7,14.6,0.993,1,0,0,0,14.5,312,2.408,1,20,133.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.56,0,133.83,0,20,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,28,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,64,30,28,40,52,42,0,39321,202,104,78,106,132,123,26222,39321
0.660,0,807,16,82,37,14.7,14.6,0.993,1,0,0,0,14.5,312,2.408,1,19,133.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.56,0,133.5,0,19,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,45,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,64,30,28,35,42,45,0,39321,202,104,78,106,129,123,26222,39321
0.720,0,806,16,82,37,14.7,14.54,0.989,1,0,0,0,14.5,312,2.408,1,19,133.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.5,0,133.5,0,19,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,28,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,62,28,28,35,42,45,0,39321,202,101,78,106,129,123,26222,39321
0.780,0,805,16,82,37,14.7,14.54,0.989,1,0,0,0,14.5,312,2.408,1,19,133.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.45,0,133.33,0,19,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,39,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,62,28,28,39,42,45,0,39321,202,101,78,106,129,123,26222,39321
0.840,0,811,16,82,37,14.7,14.51,0.987,1,0,0,0,14.5,312,2.408,1,19,133.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.39,0,133.33,0,19,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,66,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,66,28,28,39,42,44,0,39321,202,101,78,106,129,123,26222,39321
0.900,0,808,16,82,37,14.7,14.48,0.985,1,0,0,0,14.5,312,2.408,1,19,133.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.27,0,133.33,0,19,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,28,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,66,30,28,39,42,44,0,39321,202,98,78,106,129,123,26222,39321
0.960,0,809,16,82,37,14.7,14.48,0.985,1,0,0,0,14.5,312,2.408,1,19,133.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.22,0,133.33,0,19,16,13.478,350.72,1,0.645,0.645,0.625,3.145,0.254,0.02,0,,,,40,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,66,30,28,32,39,40,0,39321,202,98,78,106,126,123,26222,39321
1.020,0,809,16,82,37,14.7,14.48,0.985,1,0,0,0,14.5,312,2.392,1,19,133.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,810,800,800,1090,1400,69,0.254,20.5,14.7,15.22,0,133.33,0,19,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,35,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,61,35,28,32,39,40,0,39321,199,98,78,106,126,123,26222,39321
1.080,0,803,16,82,37,14.7,14.44,0.982,1,0,0,0,15,312,2.408,1,19,133.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.95,35,1,0.391,0,0,0,0,0,0,0,0,0,800,800,800,800,1090,1400,69,0.254,20.5,14.7,15.16,0,133.33,0,19,16,13.478,350.72,1,0.664,0.664,0.625,3.145,0.254,0.02,0,,,,54,0,0,0,0,0,0,0,0,0,0,7,0,0,7000,7000,28,189,1051,61,35,28,44,54,40,0,39321,199,98,78,109,126,123,26222,39321
