Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.44;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
1.63;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
1.84;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
2.24;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
2.65;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
3.04;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
3.24;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
3.64;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
4.04;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
4.44;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
4.84;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
5.26;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
5.64;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
6.07;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
6.45;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
6.86;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
7.25;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;76
7.66;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;89
8.06;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;89
8.47;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;89
8.86;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;89
9.27;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;89
9.48;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;89
9.86;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;89
10.28;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
10.68;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
11.08;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
11.49;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
11.88;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
12.29;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
12.69;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
13.09;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
13.49;0.0;0;0;0;5.0;85;0;50;20;0;55;0;0.32;1.0;1.0;0;0;205;0;20;0.0;0.0;2.43;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;288;;145;53;0;82
