Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
5.16;0.0;0;0;5;6.25;105;0;50;37;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.9;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;662;;139;134;0;154
5.56;0.0;0;0;5;6.25;105;0;50;37;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.9;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;661;;139;134;0;154
5.96;0.0;0;0;5;6.25;105;0;50;37;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.9;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;661;;139;134;0;154
6.37;0.0;0;0;5;6.25;105;0;50;37;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.9;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;661;;139;134;0;154
6.77;0.0;0;0;4;6.25;105;0;50;37;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.3;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;662;;139;134;0;154
7.18;0.0;0;0;5;6.25;105;0;50;37;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.9;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;662;;139;134;0;154
7.57;0.0;0;0;5;6.25;105;0;50;37;0;104;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.9;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;658;;139;134;0;150
7.97;0.0;0;0;5;6.25;105;0;50;37;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;2.9;3.02;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;662;;139;134;0;150
8.39;0.0;0;0;0;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;660;;139;134;0;150
8.58;0.0;0;0;0;6.25;105;0;50;30;0;104;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;659;;139;134;0;154
8.97;0.0;0;0;0;6.25;105;0;50;30;0;104;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;659;;139;134;0;154
9.38;0.0;0;0;0;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;662;;139;134;0;154
9.79;0.0;0;0;0;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;662;;139;134;0;154
10.18;0.0;0;0;0;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;660;;139;134;0;154
10.58;0.0;0;0;1;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.6;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;661;;139;134;0;51
11.0;0.0;0;0;1;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.6;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;662;;139;134;0;74
11.39;0.0;0;0;1;6.25;105;0;50;30;0;104;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.6;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;659;;139;134;0;74
11.8;0.0;0;0;1;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.6;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;663;;140;134;0;73
12.2;0.0;0;0;0;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;661;;139;134;0;146
12.59;0.0;0;0;0;6.25;105;0;50;30;0;104;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;659;;139;134;0;150
13.0;0.0;0;0;0;6.25;105;0;50;30;0;104;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;659;;139;134;0;150
13.4;0.0;0;0;0;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;662;;139;134;0;150
13.8;0.0;0;0;0;6.25;105;0;50;30;0;104;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;658;;139;134;0;154
14.21;0.0;0;0;0;6.25;105;0;50;30;0;105;0;0.8;1.0;1.0;0;0;128;0;20;0.0;0.0;3.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;661;;139;134;0;154
14.62;115;68;68;0;7.17;121;0;60;16;0;94;1;0.73;1.0;1.0;0;0;130;0;10;8.5;0.0;3.47;0.7;345;128;14.7;;;0;1;0;1;1;1;1;0;0;1;0;583;;117;132;0;149
14.81;179;70;70;0;7.3;118;0;54;16;0;95;2;0.73;1.0;1.0;0;0;130;0;16;8.75;0.0;3.51;1.1;345;128;14.7;;;0;1;0;1;1;1;1;0;0;1;0;590;;121;133;0;150
15.21;205;65;65;0;6.93;118;0;54;16;0;95;2;0.73;1.0;1.0;0;0;130;0;16;8.12;0.0;3.36;1.2;345;128;14.7;;;0;1;0;1;1;1;1;0;0;1;0;587;;121;133;0;149
15.61;166;55;55;0;6.08;119;0;54;16;0;94;2;0.73;1.0;1.0;0;0;130;0;16;6.88;0.0;3.03;0.8;345;128;14.7;;;0;1;0;1;1;1;1;0;0;1;0;576;;120;133;0;149
16.01;166;57;57;0;6.27;119;0;54;16;0;93;2;0.72;1.0;1.0;0;0;130;0;16;7.12;0.0;3.1;0.9;345;128;14.7;;;0;1;0;1;1;1;1;0;0;1;0;574;;120;133;0;149
16.42;1012;53;53;0;13;113;0;54;29;0;78;11;0.62;1.0;1.0;0;0;130;0;16;6.62;0.0;5.7;10.8;345;128;14.7;11.7;0.796;0;1;0;0;1;1;1;0;0;1;0;456;;129;133;0;105
16.82;1140;23;23;0;6.3;96;0;40;30;0;54;6;0.45;1.0;1.0;0;0;130;0;30;2.88;0.0;3.0;6.0;345;128;14.7;11.71;0.797;0;1;0;0;1;1;0;0;0;1;0;280;;152;134;0;81
17.23;999;26;26;0;6.93;97;0;41;29;0;56;6;0.46;1.0;1.0;0;0;130;0;29;3.25;0.0;3.26;5.8;345;128;14.47;11.71;0.809;0;1;0;0;1;1;0;0;0;1;0;297;;150;134;0;109
17.63;973;25;25;0;6.73;97;0;41;29;0;56;5;0.46;1.0;1.0;0;0;130;0;29;3.12;0.0;3.18;5.5;345;128;14.47;9.31;0.643;0;1;0;0;1;1;0;0;0;1;0;295;;151;134;0;83
18.03;1012;26;26;0;6.9;96;0;41;29;0;57;6;0.47;1.0;1.0;0;0;130;0;29;3.25;0.0;3.24;5.8;345;128;14.47;9.31;0.643;0;1;0;0;1;1;0;0;0;1;0;304;;152;134;0;84
18.44;973;25;25;0;6.6;96;0;41;29;0;56;5;0.46;1.0;1.0;0;0;130;0;29;3.12;0.0;3.12;5.4;345;128;14.47;9.01;0.623;0;1;0;0;1;1;0;0;0;1;0;294;;152;134;0;82
