время_с;Обороты;Нагрузка (сглаж.);Расход мгновенный;ALPHA;Впрыск расчёт;Впрыск РЕАЛ (форс);Указатель карты hi;Указатель карты lo;Карта топлива вернула;TPS дроссель;TPS открытие;Обогащ. ускорения;Флаг TPS;VE выбранное;Ktps выбранное;Флаг ХХ/газ;Банк концевиков;Флаги угла;Замкнутый цикл;УОЗ финал сырьё;УОЗ карта;Цель ХХ;АЦП ch0 MAF;АЦП ch1 напряжение;АЦП ch2 темп ОЖ;АЦП ch3 O2;peek ($1600);УОЗ_°BTDC;TP_%8;AFR_цель;AFR_факт;поправка_VE;давление_кПа;Загрузка_форс_%;Газ_%;K_форс;КМ
0.45;820;23;23;1.0;1.19;2.42;22;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;243;164;55;0;;15;2.88;14.47;;;;1.7;0.0;345;63
4.1;781;22;22;1.0;1.16;2.33;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;88;240;163;55;1;;15;2.75;14.7;;;;1.5;0.0;345;63
4.53;807;22;22;1.0;1.13;2.28;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;240;164;55;1;;15;2.75;14.7;;;;1.5;0.0;345;63
4.96;871;22;22;1.0;1.16;2.35;22;0;66;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;243;164;55;0;;15;2.75;14.7;;;;1.7;0.0;345;63
5.38;871;22;22;1.0;1.15;2.33;22;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;242;164;55;1;;15;2.75;14.7;;;;1.7;0.0;345;63
5.56;781;23;23;1.0;1.16;2.34;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;241;164;55;1;;15;2.88;14.47;;;;1.5;0.0;345;63
5.98;781;23;23;1.0;1.18;2.41;22;0;66;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;242;164;55;0;;15;2.88;14.47;;;;1.6;0.0;345;63
6.41;781;23;23;1.0;1.19;2.42;22;0;66;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;243;164;55;1;;15;2.88;14.47;;;;1.6;0.0;345;63
6.81;781;23;23;1.0;1.16;2.35;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;242;164;55;1;;15;2.88;14.47;;;;1.5;0.0;345;63
7.21;807;22;22;1.0;1.15;2.33;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;242;164;55;0;;15;2.75;14.7;;;;1.6;0.0;345;63
7.61;896;22;22;1.0;1.14;2.29;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;88;241;163;55;0;;15;2.75;14.7;;;;1.7;0.0;345;63
8.01;781;22;22;1.0;1.16;2.35;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;88;241;163;55;0;;15;2.75;14.7;;;;1.5;0.0;345;63
8.45;807;23;23;1.0;1.17;2.37;22;0;66;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;242;164;55;0;;15;2.88;14.47;;;;1.6;0.0;345;63
8.84;832;23;23;1.0;1.19;2.41;22;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;88;242;163;55;0;;15;2.88;14.47;;;;1.7;0.0;345;63
9.28;807;22;22;1.0;1.15;2.33;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;88;240;164;55;1;;15;2.75;14.7;;;;1.6;0.0;345;63
9.47;768;23;23;1.0;1.18;2.39;22;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;88;241;163;55;0;;15;2.88;14.47;;;;1.5;0.0;345;63
9.89;832;23;23;1.0;1.18;2.39;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;89;240;162;55;0;;15;2.88;14.47;;;;1.7;0.0;345;63
10.31;768;22;22;1.0;1.15;2.31;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;237;164;55;1;;15;2.75;14.7;;;;1.5;0.0;345;63
10.71;832;23;23;1.0;1.19;2.41;22;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;90;240;161;55;0;;15;2.88;14.47;;;;1.7;0.0;345;63
11.14;768;23;23;1.0;1.17;2.38;22;0;66;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;241;164;55;0;;15;2.88;14.47;;;;1.5;0.0;345;63
11.54;845;22;22;1.0;1.16;2.35;22;0;66;43;0;0;0;0.0;0.0;140;95;65;8;53;17;88;241;163;55;1;;17;2.75;14.7;;;;1.7;0.0;345;63
11.96;807;22;22;1.0;1.15;2.33;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;241;164;55;0;;15;2.75;14.7;;;;1.6;0.0;345;63
12.35;832;22;22;1.0;1.14;2.29;22;0;65;43;0;0;0;0.0;0.0;140;95;65;40;50;20;90;241;161;55;0;;20;2.75;14.7;;;;1.6;0.0;345;63
12.76;820;22;22;1.0;1.14;2.29;22;0;65;43;0;0;0;0.0;0.0;140;95;65;8;50;20;88;241;163;55;0;;20;2.75;14.7;;;;1.6;0.0;345;63
12.97;717;25;25;1.0;1.24;2.54;22;0;66;43;0;0;0;0.0;0.0;140;95;65;56;50;20;90;240;160;55;0;;20;3.12;14.47;;;;1.5;0.0;345;63
13.37;717;28;28;1.0;1.35;2.81;22;0;65;43;0;0;0;0.0;0.0;140;95;65;8;50;20;90;248;160;55;0;;20;3.5;14.47;;;;1.7;0.0;345;63
13.81;807;25;25;1.0;1.23;2.52;22;0;65;43;0;0;0;0.0;0.0;140;95;65;40;50;20;90;245;161;55;0;;20;3.12;14.47;;;;1.7;0.0;345;63
14.21;820;26;26;1.0;1.28;2.62;22;0;66;43;0;0;0;0.0;0.0;140;95;65;40;50;20;90;247;160;55;0;;20;3.25;14.47;;;;1.8;0.0;345;63
14.62;781;26;26;1.0;1.28;2.64;22;0;66;43;0;0;0;0.0;0.0;140;95;65;56;50;20;90;249;161;55;0;;20;3.25;14.47;;;;1.7;0.0;345;63
15.04;730;26;26;1.0;1.28;2.64;22;0;65;43;0;0;0;0.0;0.0;140;95;65;56;50;20;88;248;163;55;0;;20;3.25;14.47;;;;1.6;0.0;345;63
15.46;768;26;26;1.0;1.27;2.62;22;0;65;43;0;0;0;0.0;0.0;140;95;65;8;50;20;88;249;161;55;0;;20;3.25;14.47;;;;1.7;0.0;345;63
15.86;832;25;25;1.0;1.26;2.6;22;0;66;43;0;0;0;0.0;0.0;140;95;65;40;50;20;88;250;163;55;0;;20;3.12;14.47;;;;1.8;0.0;345;63
16.07;730;26;26;1.0;1.28;2.64;22;0;66;43;0;0;0;0.0;0.0;140;95;65;40;50;20;88;249;163;55;0;;20;3.25;14.47;;;;1.6;0.0;345;63
16.49;730;26;26;1.0;1.28;2.66;22;0;66;43;0;0;0;0.0;0.0;140;95;65;8;50;20;88;250;163;55;0;;20;3.25;14.47;;;;1.6;0.0;345;63
16.91;845;26;26;1.0;1.28;2.64;22;0;66;43;0;0;0;0.0;0.0;140;95;65;24;50;20;90;251;160;55;0;;20;3.25;14.47;;;;1.9;0.0;345;63
17.29;781;25;25;1.0;1.25;2.58;22;0;66;43;0;0;0;0.0;0.0;140;95;65;24;50;20;88;251;163;55;0;;20;3.12;14.47;;;;1.7;0.0;345;63
17.7;820;26;26;1.0;1.28;2.66;22;0;66;43;0;0;0;0.0;0.0;140;95;65;24;50;20;89;253;162;55;0;;20;3.25;14.47;;;;1.8;0.0;345;63
18.11;820;26;26;1.0;1.27;2.62;22;0;66;43;0;0;0;0.0;0.0;140;95;65;24;50;20;88;255;163;55;0;;20;3.25;14.47;;;;1.8;0.0;345;63
18.55;845;26;26;1.0;1.29;2.68;22;0;66;43;0;0;0;0.0;0.0;140;95;65;8;50;20;88;256;163;55;0;;20;3.25;14.47;;;;1.9;0.0;345;63
18.97;756;26;26;1.0;1.3;2.69;22;0;66;43;0;0;0;0.0;0.0;140;95;65;8;50;20;90;255;160;55;0;;20;3.25;14.47;;;;1.7;0.0;345;63
19.38;781;27;27;1.0;1.33;2.76;22;0;66;43;0;0;0;0.0;0.0;140;95;65;8;50;20;90;255;161;55;0;;20;3.38;14.47;;;;1.8;0.0;345;63
19.59;768;29;29;1.0;1.36;2.85;22;0;65;43;0;0;0;0.0;0.0;140;95;65;56;50;20;90;257;161;55;0;;20;3.62;14.47;;;;1.8;0.0;345;63
20.0;730;27;27;1.0;1.32;2.75;22;0;66;43;0;0;0;0.0;0.0;140;95;65;8;50;20;88;255;163;55;0;;20;3.38;14.47;;;;1.7;0.0;345;63
20.4;717;29;29;1.0;1.38;2.88;22;0;65;43;0;0;0;0.0;0.0;140;95;65;40;50;20;90;257;160;55;0;;20;3.62;14.47;;;;1.7;0.0;345;63
20.82;807;27;27;1.0;1.31;2.73;22;0;66;43;0;0;0;0.0;0.0;140;95;65;8;50;20;88;257;163;55;0;;20;3.38;14.47;;;;1.8;0.0;345;63
21.23;756;28;28;1.0;1.33;2.77;22;0;66;43;0;0;0;0.0;0.0;140;95;65;40;50;20;88;258;163;55;0;;20;3.5;14.47;;;;1.7;0.0;345;63
