время_с;Обороты;Нагрузка (сглаж.);Расход мгновенный;ALPHA;Впрыск РЕАЛ (форс);Карта в тени;Вердикт указателя;XOR тени;Сумма тени;Карта топлива вернула;TPS дроссель;TPS открытие;Обогащ. ускорения;Флаг TPS;VE выбранное;Ktps выбранное;Флаг ХХ/газ;Банк концевиков;Флаги угла;Замкнутый цикл;УОЗ финал сырьё;УОЗ карта;Цель ХХ;АЦП ch0 (МАФ/ДАД);Давление;АЦП ch1 напряжение;АЦП ch2 темп ОЖ;АЦП ch3 O2;peek ($1600);УОЗ_°BTDC;TP_%8;AFR_цель;AFR_факт;поправка_VE;давление_кПа;Загрузка_форс_%;Газ_%;K_форс;КМ;Впрыск расчёт
0.63;1178;22;22;1.0;4.86;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;34;36;103;1;20;170;148;8;;36;2.75;14.15;;;;4.8;0.0;345;63;2.46
1.05;1204;22;22;1.0;4.81;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;34;36;103;1;19;170;148;8;;36;2.75;14.15;;;;4.8;0.0;345;63;2.44
1.45;1204;22;22;1.0;4.83;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;34;36;103;1;21;170;148;8;;36;2.75;14.15;;;;4.8;0.0;345;63;2.45
1.87;1204;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;34;36;103;1;23;170;148;8;;36;2.75;14.15;;;;5.0;0.0;345;63;2.5
2.06;1165;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;34;36;103;1;22;170;148;8;;36;2.75;14.15;;;;4.8;0.0;345;63;2.5
2.48;1153;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;156;127;69;8;34;36;103;1;20;170;148;8;;36;2.75;14.15;;;;4.7;0.0;345;63;2.48
2.9;1153;22;22;1.0;4.88;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;34;36;103;1;19;170;148;8;;36;2.75;14.15;;;;4.7;0.0;345;63;2.47
3.29;1114;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;35;35;103;1;19;170;147;8;;35;2.75;14.15;;;;4.6;0.0;345;63;2.5
3.71;1165;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;34;36;103;1;20;170;147;8;;36;2.75;14.15;;;;4.8;0.0;345;63;2.49
4.13;1153;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;34;36;103;1;20;170;147;8;;36;2.75;14.15;;;;4.7;0.0;345;63;2.49
4.55;1153;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;34;36;103;1;22;170;147;8;;36;2.75;14.15;;;;4.7;0.0;345;63;2.49
4.93;1178;22;22;1.0;4.81;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;34;36;103;1;20;170;147;8;;36;2.75;14.15;;;;4.7;0.0;345;63;2.44
5.35;1165;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;33;37;103;1;22;170;147;8;;37;2.75;14.15;;;;4.8;0.0;345;63;2.48
5.56;1165;21;21;1.0;4.68;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;34;36;103;1;15;170;147;8;;36;2.62;14.15;;;;4.5;0.0;345;63;2.39
5.97;1140;22;22;1.0;4.86;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;34;36;103;1;18;170;147;8;;36;2.75;14.15;;;;4.6;0.0;345;63;2.46
6.36;1153;23;23;1.0;5.11;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;36;34;103;1;24;170;146;8;;34;2.88;14.15;;;;4.9;0.0;345;63;2.56
6.79;1153;22;22;1.0;4.88;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;19;170;146;8;;34;2.75;14.15;;;;4.7;0.0;345;63;2.47
7.21;1140;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;21;170;146;9;;34;2.75;14.15;;;;4.7;0.0;345;63;2.5
7.62;1153;21;21;1.0;4.76;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;17;170;146;9;;34;2.62;14.15;;;;4.6;0.0;345;63;2.42
8.02;1153;22;22;1.0;4.88;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;20;170;146;9;;34;2.75;14.15;;;;4.7;0.0;345;63;2.47
8.43;1140;23;23;1.0;5.03;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;22;170;146;9;;34;2.88;14.15;;;;4.8;0.0;345;63;2.53
8.83;1114;23;23;1.0;4.98;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;37;34;103;1;20;170;146;9;;33;2.88;14.15;;;;4.6;0.0;345;63;2.51
9.24;1140;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;36;34;103;1;19;170;146;9;;34;2.75;14.15;;;;4.7;0.0;345;63;2.48
9.47;1165;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;36;34;103;1;21;170;146;9;;34;2.75;14.15;;;;4.8;0.0;345;63;2.5
9.86;1178;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;36;34;103;1;20;170;145;9;;34;2.75;14.15;;;;4.8;0.0;345;63;2.48
10.27;1165;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;37;34;103;1;19;170;145;9;;33;2.75;14.15;;;;4.8;0.0;345;63;2.49
10.68;1178;21;21;1.0;4.81;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;36;34;103;1;16;170;145;9;;34;2.62;14.15;;;;4.7;0.0;345;63;2.44
11.09;1140;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;36;34;103;1;19;170;145;9;;34;2.75;14.15;;;;4.7;0.0;345;63;2.49
11.5;1140;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;37;34;103;1;19;170;145;9;;33;2.75;14.15;;;;4.7;0.0;345;63;2.49
11.9;1114;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;19;170;145;9;;34;2.75;14.15;;;;4.6;0.0;345;63;2.48
12.33;1140;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;20;170;145;9;;34;2.75;14.15;;;;4.7;0.0;345;63;2.48
12.75;1140;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;36;34;103;1;20;170;145;9;;34;2.75;14.15;;;;4.7;0.0;345;63;2.48
13.15;1114;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;37;33;103;1;19;170;144;9;;33;2.75;14.15;;;;4.6;0.0;345;63;2.49
13.36;1114;21;21;1.0;4.81;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;37;32;103;1;15;170;144;9;;33;2.62;14.15;;;;4.5;0.0;345;63;2.44
13.75;1153;21;21;1.0;4.78;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;38;33;103;1;13;170;144;9;;32;2.62;14.15;;;;4.6;0.0;345;63;2.43
14.17;1101;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;37;32;103;1;16;170;144;9;;33;2.75;14.15;;;;4.6;0.0;345;63;2.5
14.59;1140;23;23;1.0;4.98;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;38;32;103;1;17;170;144;9;;32;2.88;14.15;;;;4.7;0.0;345;63;2.51
14.97;1114;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;38;32;103;1;15;170;144;9;;32;2.75;14.15;;;;4.6;0.0;345;63;2.48
15.39;1114;22;22;1.0;4.98;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;38;32;103;1;17;170;144;8;;32;2.75;14.15;;;;4.6;0.0;345;63;2.51
15.79;1089;23;23;1.0;5.11;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;38;32;103;1;19;170;144;8;;32;2.88;14.15;;;;4.6;0.0;345;63;2.56
16.21;1165;22;22;1.0;4.88;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;38;33;103;1;17;170;143;8;;32;2.75;14.15;;;;4.7;0.0;345;63;2.47
16.62;1114;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;37;32;103;1;18;170;143;8;;33;2.75;14.15;;;;4.6;0.0;345;63;2.5
17.03;1089;23;23;1.0;5.03;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;38;32;103;1;19;170;143;8;;32;2.88;14.15;;;;4.6;0.0;345;63;2.53
17.45;1114;23;23;1.0;5.01;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;38;32;103;1;19;170;143;8;;32;2.88;14.15;;;;4.7;0.0;345;63;2.52
17.68;1101;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;38;32;103;1;16;170;143;8;;32;2.75;14.15;;;;4.5;0.0;345;63;2.48
18.06;1140;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;38;32;103;1;17;170;143;8;;32;2.75;14.15;;;;4.7;0.0;345;63;2.5
18.48;1101;23;23;1.0;5.01;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;37;32;103;1;18;170;143;8;;33;2.88;14.15;;;;4.6;0.0;345;63;2.52
18.9;1140;21;21;1.0;4.77;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;38;33;102;1;13;171;143;8;;32;2.62;14.15;;;;4.5;0.0;345;63;2.42
19.31;1153;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;38;33;103;1;18;170;143;8;;32;2.75;14.15;;;;4.7;0.0;345;63;2.49
19.69;1089;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;156;127;69;8;38;32;103;1;18;170;142;8;;32;2.75;14.15;;;;4.5;0.0;345;63;2.5
20.09;1140;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;24;38;32;103;1;17;170;142;8;;32;2.75;14.15;;;;4.7;0.0;345;63;2.48
20.49;1153;22;22;1.0;4.88;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;39;31;103;1;17;170;142;8;;31;2.75;14.15;;;;4.7;0.0;345;63;2.47
20.91;1101;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;38;31;103;1;16;170;142;8;;32;2.75;14.15;;;;4.5;0.0;345;63;2.49
21.34;1153;22;22;1.0;4.86;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;39;31;103;1;14;170;142;8;;31;2.75;14.15;;;;4.7;0.0;345;63;2.46
21.51;1101;23;23;1.0;5.01;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;39;31;103;1;18;170;142;8;;31;2.88;14.15;;;;4.6;0.0;345;63;2.52
21.93;1153;22;22;1.0;4.96;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;56;39;32;103;1;18;170;142;8;;31;2.75;14.15;;;;4.8;0.0;345;63;2.5
22.35;1089;22;22;1.0;4.91;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;38;31;103;1;16;170;142;8;;32;2.75;14.15;;;;4.5;0.0;345;63;2.48
22.74;1114;23;23;1.0;5.01;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;8;39;31;103;1;18;170;142;8;;31;2.88;14.15;;;;4.7;0.0;345;63;2.52
23.17;1089;22;22;1.0;4.93;0;0;119;183;64;42;0;0;0;0.0;0.0;140;127;69;40;39;31;103;1;15;170;141;8;;31;2.75;14.15;;;;4.5;0.0;345;63;2.49
