Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Откат по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.64;807;23;23;0;4.76;79;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.3;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;239;42;169;78;0;
1.05;781;23;23;0;4.8;78;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.31;3.1;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;170;78;0;
1.48;781;24;24;0;4.86;79;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.34;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;169;78;0;
1.69;781;24;24;0;4.95;78;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.37;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;240;42;170;78;0;
2.1;781;24;24;0;4.85;78;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.33;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;240;42;170;78;0;
2.51;756;24;24;0;4.95;78;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.37;3.1;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;240;42;170;78;0;
2.92;807;24;24;0;4.85;78;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.33;3.3;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;241;42;170;78;0;
3.32;768;23;23;0;4.7;78;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.27;3.0;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;239;42;170;78;0;
3.75;781;23;23;0;4.83;79;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.33;3.1;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;240;42;169;78;0;
4.14;807;22;22;0;4.62;78;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;170;78;0;
