Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.56;;;;;;;;;;;;;;;;;;;;;;;345;128;;14.5;;;;;;;;;;;;;;;;;;
1.94;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.6;0.993;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;41
2.32;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.2;0.966;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;41
2.69;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.0;0.952;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;40
3.07;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.6;0.993;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;45
3.45;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.8;1.007;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;50
3.82;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.8;1.007;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;41
3.84;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.6;0.993;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;41
4.19;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.6;0.993;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;40
4.22;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.0;0.952;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;40
4.58;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.5;0.986;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;40
4.96;0.0;0;0;0;7.5;94;0;64;50;20;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;3.47;;345;128;14.7;14.2;0.966;0;0;0;0;1;1;0;0;0;1;0;16;42;148;59;0;43
5.35;102;21;21;0;7.5;113;0;64;70;0;0;0;0.0;0.0;1.0;0;0;0;2.62;0.0;3.56;0.6;345;128;14.7;14.2;0.966;0;0;0;1;1;1;1;0;0;1;0;57;42;121;58;0;38
5.72;166;38;38;0;6.25;111;0;64;54;16;0;0;0.0;0.0;1.0;0;0;16;4.75;0.0;3.06;0.9;345;128;14.7;14.2;0.966;0;1;0;1;1;1;1;0;0;1;0;161;42;124;58;0;52
6.1;884;21;21;0;4.97;98;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.62;0.0;2.48;3.7;345;128;14.7;14.2;0.966;0;1;0;0;1;1;0;0;0;1;0;242;42;151;59;0;50
6.47;935;24;24;0;5.32;84;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.55;4.1;345;128;14.47;14.2;0.981;0;1;0;0;1;1;0;0;0;1;0;257;42;162;59;0;38
6.86;1012;25;25;0;5.27;82;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;3.12;0.0;2.52;4.4;345;128;14.47;14.2;0.981;0;1;0;0;1;1;0;0;0;1;0;267;42;164;59;0;77
7.26;1050;23;23;0;5.07;84;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.45;4.4;345;128;14.7;14.2;0.966;0;1;0;0;1;1;0;0;0;1;0;264;42;162;59;0;77
7.62;986;24;24;0;5.16;85;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.49;4.2;345;128;14.47;14.2;0.981;0;1;0;0;1;1;0;0;0;1;0;263;42;161;59;0;81
