Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.19;;;;;;;;;;;;;;;;;;;;;;;;345;128;;21.8;;;;;;;;;;;;;;;;;;
0.51;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.6;;0;0;0;0;1;1;0;0;0;1;0;680;42;143;119;0;155
0.89;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.2;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
1.28;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.2;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
1.66;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.5;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;146
2.04;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.2;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;154
2.42;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.2;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;140
2.45;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.5;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;140
2.83;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.2;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
3.22;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.0;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
3.6;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.3;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
4.0;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.8;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
4.38;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.5;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
4.78;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.7;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
5.16;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;119;0;154
5.54;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
5.57;0.0;0;0;0;10;103;0;64;50;30;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.5;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
5.95;0.0;0;0;117;10;103;0;64;50;34;0;107;0;0.8;1.0;1.0;0;0;20;0.0;68.0;4.51;;345;128;14.7;22.8;;0;0;0;0;1;0;0;0;0;1;0;678;276;143;119;0;154
6.33;0.0;0;0;117;10;103;0;64;50;34;0;106;0;0.79;1.0;1.0;0;0;20;0.0;68.0;4.51;;345;128;14.7;23.4;;0;0;0;0;1;0;0;0;0;1;0;675;276;143;119;0;153
6.7;0.0;0;0;107;10;103;0;64;50;34;0;107;0;0.8;1.0;1.0;0;0;20;0.0;62.2;4.51;;345;128;14.7;23.4;;0;0;0;0;1;0;0;0;0;1;0;676;256;143;119;0;154
6.73;0.0;0;0;107;10;103;0;64;50;34;0;107;0;0.8;1.0;1.0;0;0;20;0.0;62.2;4.51;;345;128;14.7;21.4;;0;0;0;0;1;0;0;0;0;1;0;676;256;143;119;0;154
7.11;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.7;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
7.49;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.3;;0;0;0;0;1;1;0;0;0;1;0;680;42;143;119;0;154
7.89;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.1;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
8.28;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;119;0;146
8.67;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.8;;0;0;0;0;1;1;0;0;0;1;0;678;42;142;119;0;154
9.05;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.2;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;119;0;154
9.45;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.4;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
9.83;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.4;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
10.23;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.9;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
10.62;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.2;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
10.99;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.8;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
11.39;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;20.9;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
11.77;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.9;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
12.16;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.9;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
12.18;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.7;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
12.55;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;154
12.95;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.4;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;145
13.33;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.3;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
13.72;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.8;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
14.1;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.8;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
14.12;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.4;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
14.5;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;119;0;154
14.9;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;154
15.41;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.6;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;153
15.7;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.3;;0;0;0;0;1;1;0;0;0;1;0;677;42;143;119;0;154
16.05;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
16.43;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
16.46;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.3;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
16.83;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.5;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
17.21;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.2;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;154
17.62;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.5;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;118;0;154
17.99;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.7;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;118;0;154
18.39;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.3;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;140
18.79;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.1;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;118;0;154
19.16;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.1;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;119;0;154
19.19;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;119;0;154
19.56;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;21.8;;0;0;0;0;1;1;0;0;0;1;0;680;42;143;119;0;155
19.96;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.0;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;154
20.35;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.8;;0;0;0;0;1;1;0;0;0;1;0;676;42;143;119;0;154
20.72;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.0;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
21.11;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.1;;0;0;0;0;1;1;0;0;0;1;0;677;42;142;119;0;154
21.51;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.7;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;154
21.88;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.7;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
21.91;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.5;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
22.29;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.0;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
22.68;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.3;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;154
23.06;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.0;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;154
23.45;0.0;0;0;0;10;103;0;64;50;25;0;106;0;0.79;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.0;;0;0;0;0;1;1;0;0;0;1;0;675;42;143;119;0;154
23.84;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.0;;0;0;0;0;1;1;0;0;0;1;0;678;42;143;119;0;146
24.22;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.0;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;155
24.24;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.0;;0;0;0;0;1;1;0;0;0;1;0;676;42;142;119;0;155
24.62;0.0;0;0;0;10;103;0;64;50;25;0;106;0;0.79;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.2;;0;0;0;0;1;1;0;0;0;1;0;675;42;142;119;0;154
25.0;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.2;;0;0;0;0;1;1;0;0;0;1;0;676;42;143;119;0;154
25.02;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;23.1;;0;0;0;0;1;1;0;0;0;1;0;676;42;143;119;0;154
25.4;0.0;0;0;0;10;103;0;64;50;25;0;107;0;0.8;1.0;1.0;0;0;20;0.0;0.0;4.51;;345;128;14.7;22.6;;0;0;0;0;1;1;0;0;0;1;0;679;42;143;119;0;154
