Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
6.18;768;21;21;0;4.43;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.2;2.8;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;270;42;168;75;0;77
6.37;768;21;21;0;4.43;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.2;2.8;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;270;42;168;75;0;77
6.58;768;21;21;0;4.43;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.2;2.8;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;270;42;168;75;0;77
6.98;781;21;21;0;4.46;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.21;2.9;345;128;14.7;15.3;1.041;0;1;0;0;1;1;0;0;0;1;0;272;42;168;73;0;81
7.38;807;22;22;0;4.61;85;0;65;55;15;0;54;4;0.42;1.0;1.0;0;0;15;2.75;0.0;2.27;3.1;345;128;14.7;13.2;0.898;0;1;0;0;1;1;0;0;0;1;0;276;42;167;75;0;78
7.77;781;21;21;0;4.46;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.21;2.9;345;128;14.7;13.2;0.898;0;1;0;0;1;1;0;0;0;1;0;273;42;168;75;0;81
8.17;807;21;21;0;4.46;85;0;65;55;15;0;53;4;0.41;1.0;1.0;0;0;15;2.62;0.0;2.21;3.0;345;128;14.7;13.2;0.898;0;1;0;0;1;1;0;0;0;1;0;272;42;168;74;0;81
8.58;832;21;21;0;4.43;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.2;3.1;345;128;14.7;14.81;1.007;0;1;0;0;1;1;0;0;0;1;0;273;42;167;73;0;77
8.98;768;21;21;0;4.43;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.2;2.8;345;128;14.7;14.81;1.007;0;1;0;0;1;1;0;0;0;1;0;270;42;168;74;0;77
9.19;781;21;21;0;4.51;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.23;2.9;345;128;14.7;14.81;1.007;0;1;0;0;1;1;0;0;0;1;0;275;42;167;73;0;81
9.58;768;21;21;0;4.48;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.22;2.9;345;128;14.7;14.82;1.008;0;1;0;0;1;1;0;0;0;1;0;273;42;167;74;0;77
10.0;781;22;22;0;4.56;85;0;65;55;15;0;54;3;0.42;1.0;1.0;0;0;15;2.75;0.0;2.25;3.0;345;128;14.7;14.82;1.008;0;1;0;0;1;1;0;0;0;1;0;279;42;167;72;0;81
10.39;768;21;21;0;4.46;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.21;2.9;345;128;14.7;14.82;1.008;0;1;0;0;1;1;0;0;0;1;0;274;42;168;73;0;81
10.8;807;22;22;0;4.63;85;0;65;55;15;0;54;4;0.42;1.0;1.0;0;0;15;2.75;0.0;2.28;3.1;345;128;14.7;13.81;0.939;0;1;0;0;1;1;0;0;0;1;0;279;42;168;72;0;81
11.21;768;21;21;0;4.38;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.18;2.8;345;128;14.7;13.81;0.939;0;1;0;0;1;1;0;0;0;1;0;274;42;168;72;0;81
11.6;807;22;22;0;4.66;87;0;65;55;15;0;54;4;0.42;1.0;1.0;0;0;15;2.75;0.0;2.3;3.1;345;128;14.7;15.41;1.048;0;1;0;0;1;1;0;0;0;1;0;276;42;164;72;0;81
11.99;820;22;22;0;4.53;85;0;65;55;15;0;54;4;0.41;1.0;1.0;0;0;15;2.75;0.0;2.24;3.1;345;128;14.7;15.41;1.048;0;1;0;0;1;1;0;0;0;1;0;277;42;168;72;0;82
12.4;807;21;21;0;4.43;85;0;65;55;15;0;53;3;0.41;1.0;1.0;0;0;15;2.62;0.0;2.2;3.0;345;128;14.7;15.41;1.048;0;1;0;0;1;1;0;0;0;1;0;273;42;168;72;0;81
12.8;807;22;22;0;4.48;85;0;65;55;15;0;53;4;0.41;1.0;1.0;0;0;15;2.75;0.0;2.22;3.0;345;128;14.7;13.61;0.926;0;1;0;0;1;1;0;0;0;1;0;275;42;167;72;0;81
