Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
444.19;;;;;;;;;;;;;;;;;;;;;;;;345;128;;15.11;;;;;;;;;;;;;;;;;;
444.86;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;153
445.25;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;156
445.64;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;156
446.02;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;153
446.41;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;156
446.81;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;49
447.19;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;156
447.59;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;156
447.97;0.0;0;0;0;7.5;98;0;64;50;20;0;110;0;0.84;1.0;1.0;0;0;20;0.0;0.0;3.49;;345;128;14.7;15.11;1.028;0;0;0;0;1;1;0;0;0;1;0;702;42;149;48;0;153
