Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
14.28;;;;;;;;;;;;;;;;;;;;;;;;345;128;;15.2;;;;;;;;;;;;;;;;;;
14.65;0.0;0;0;0;8.75;100;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;15.2;1.034;0;0;0;0;1;1;0;0;0;1;0;685;42;146;114;0;155
15.02;0.0;0;0;0;8.75;100;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;15.2;1.034;0;0;0;0;1;1;0;0;0;1;0;685;42;146;114;0;155
15.42;0.0;0;0;0;8.75;100;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;15.2;1.034;0;0;0;0;1;1;0;0;0;1;0;685;42;146;114;0;141
15.79;0.0;0;0;0;8.75;100;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;17.7;1.204;0;0;0;0;1;1;0;0;0;1;0;685;42;146;114;0;154
16.19;0.0;0;0;0;8.75;100;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;13.0;0.884;0;0;0;0;1;1;0;0;0;1;0;685;42;146;114;0;155
16.57;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;13.0;0.884;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;155
16.6;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;12.6;0.857;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;155
16.97;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;12.6;0.857;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;154
17.35;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;12.6;0.857;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;155
17.38;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;16.7;1.136;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;155
17.74;0.0;0;0;0;8.75;102;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;17.0;1.156;0;0;0;0;1;1;0;0;0;1;0;685;42;144;114;0;155
18.13;0.0;0;0;0;8.75;102;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;15.5;1.054;0;0;0;0;1;1;0;0;0;1;0;686;42;144;114;0;154
18.54;0.0;0;0;0;8.75;102;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;13.7;0.932;0;0;0;0;1;1;0;0;0;1;0;685;42;144;114;0;155
18.92;0.0;0;0;0;8.75;102;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;13.7;0.932;0;0;0;0;1;1;0;0;0;1;0;685;42;144;114;0;154
18.95;0.0;0;0;0;8.75;102;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;13.0;0.884;0;0;0;0;1;1;0;0;0;1;0;685;42;144;114;0;154
19.3;0.0;0;0;0;8.75;102;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;13.2;0.898;0;0;0;0;1;1;0;0;0;1;0;685;42;144;114;0;155
19.7;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.21;0.967;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;146
20.09;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.21;0.967;0;0;0;0;1;1;0;0;0;1;0;685;42;144;114;0;154
20.48;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.21;0.967;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;155
20.86;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.62;0.995;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;155
21.24;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.62;0.995;0;0;0;0;1;1;0;0;0;1;0;685;42;145;114;0;154
21.64;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.62;0.995;0;0;0;0;1;1;0;0;0;1;0;684;42;145;114;0;155
22.02;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;13.81;0.939;0;0;0;0;1;1;0;0;0;1;0;684;42;145;114;0;155
22.04;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;13.81;0.939;0;0;0;0;1;1;0;0;0;1;0;684;42;145;114;0;155
22.42;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;13.81;0.939;0;0;0;0;1;1;0;0;0;1;0;684;42;145;114;0;146
22.8;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;17.62;1.199;0;0;0;0;1;1;0;0;0;1;0;684;42;145;114;0;154
22.83;0.0;0;0;0;8.75;101;0;64;50;28;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;17.62;1.199;0;0;0;0;1;1;0;0;0;1;0;684;42;145;114;0;154
23.2;0.0;0;0;0;8.75;101;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;17.62;1.199;0;0;0;0;1;1;0;0;0;1;0;683;42;145;114;0;155
23.59;0.0;0;0;0;8.75;101;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;17.62;1.199;0;0;0;0;1;1;0;0;0;1;0;683;42;145;114;0;155
23.98;0.0;0;0;0;8.75;101;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.41;0.98;0;0;0;0;1;1;0;0;0;1;0;683;42;145;114;0;140
24.37;0.0;0;0;0;8.75;101;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;14.41;0.98;0;0;0;0;1;1;0;0;0;1;0;683;42;145;114;0;155
24.77;0.0;0;0;0;8.75;101;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;13.81;0.939;0;0;0;0;1;1;0;0;0;1;0;683;42;145;114;0;155
25.14;0.0;0;0;0;8.75;101;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.0;;345;128;14.7;13.81;0.939;0;0;0;0;1;1;0;0;0;1;0;682;42;145;114;0;155
25.53;0.0;0;0;0;8.75;102;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;13.81;0.939;0;0;0;0;1;1;0;0;0;1;0;682;42;144;114;0;154
25.93;0.0;0;0;0;8.75;102;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;16.32;1.11;0;0;0;0;1;1;0;0;0;1;0;682;42;144;114;0;155
26.31;0.0;0;0;0;8.75;102;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;16.32;1.11;0;0;0;0;1;1;0;0;0;1;0;678;42;144;114;0;154
26.69;0.0;0;0;0;8.75;102;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;14.21;0.967;0;0;0;0;1;1;0;0;0;1;0;682;42;144;114;0;155
27.09;0.0;0;0;0;8.75;102;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;14.21;0.967;0;0;0;0;1;1;0;0;0;1;0;682;42;144;114;0;155
27.48;0.0;0;0;0;8.75;102;0;64;50;28;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;4.01;;345;128;14.7;14.21;0.967;0;0;0;0;1;1;0;0;0;1;0;683;42;144;114;0;154
27.85;166;67;67;0;10;115;0;64;56;16;0;101;2;0.65;1.0;1.0;0;0;14;8.38;0.0;4.63;1.4;345;128;14.7;14.31;0.973;0;1;0;1;1;1;1;0;0;1;0;632;40;123;113;2;114
27.88;166;67;67;0;10;115;0;64;56;16;0;101;2;0.65;1.0;1.0;0;0;14;8.38;0.0;4.63;1.4;345;128;14.7;14.31;0.973;0;1;0;1;1;1;1;0;0;1;0;632;40;123;113;2;114
28.26;205;61;61;0;9.27;115;0;64;54;16;0;98;3;0.63;1.0;1.0;0;0;16;7.62;0.3;4.28;1.6;345;128;14.7;14.31;0.973;0;1;0;1;1;1;1;0;0;1;0;612;41;126;113;2;113
28.63;1319;34;34;0;8.07;104;0;64;50;21;0;66;10;0.48;1.0;1.0;0;0;20;4.25;0.6;3.75;8.9;345;128;14.7;14.31;0.973;0;1;0;0;1;1;1;0;0;1;0;375;42;141;114;1;91
28.66;1319;34;34;0;8.07;104;0;64;50;21;0;66;10;0.48;1.0;1.0;0;0;20;4.25;0.6;3.75;8.9;345;128;14.7;14.31;0.973;0;1;0;0;1;1;1;0;0;1;0;375;42;141;114;1;91
29.04;1447;18;18;0;4.71;91;0;64;42;28;0;47;6;0.39;1.0;1.0;0;0;28;2.25;0.6;2.34;5.7;345;128;14.7;13.91;0.946;0;1;0;0;1;1;0;0;0;1;0;228;42;159;115;2;70
29.43;871;19;19;0;4.92;92;0;64;47;23;0;51;3;0.38;1.0;1.0;0;0;23;2.38;0.6;2.43;3.6;345;128;14.7;13.91;0.946;0;1;0;0;1;1;0;0;0;1;0;259;42;157;115;2;76
29.8;922;22;22;0;5.53;93;0;65;47;23;0;55;4;0.41;1.0;1.0;0;0;23;2.75;0.6;2.68;4.2;345;128;14.7;14.82;1.008;0;1;0;0;1;1;0;0;0;1;0;285;42;156;115;2;82
30.19;871;22;22;0;5.56;91;0;66;47;23;0;55;4;0.41;1.0;1.0;0;0;23;2.75;0.6;2.68;4.0;345;128;14.7;14.82;1.008;0;1;0;0;1;1;0;0;0;1;0;290;42;159;115;2;82
30.58;845;21;21;0;5.4;92;0;65;47;23;0;55;4;0.41;1.0;1.0;0;0;23;2.62;0.6;2.62;3.8;345;128;14.7;14.82;1.008;0;1;0;0;1;1;0;0;0;1;0;285;42;158;115;1;82
