Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.62;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;149
2.02;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;150
2.45;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;150
2.83;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;154
3.25;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;154
3.63;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;51
4.04;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;150
4.44;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;154
4.65;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;154
5.05;0.0;0;0;0;7.5;103;0;64;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;42;143;51;0;84
