Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
16.38;0.0;0;0;0;7.5;105;0;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;675;41;140;86;0;154
16.77;0.0;0;0;0;7.5;105;0;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;675;41;140;86;0;154
17.17;0.0;0;0;0;7.5;105;0;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;675;41;140;86;0;154
17.57;0.0;0;0;0;7.5;105;0;50;20;0;107;0;0.82;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;677;41;140;86;0;154
17.98;0.0;0;0;0;7.5;105;0;50;20;0;107;0;0.82;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;676;41;140;86;0;154
18.38;0.0;0;0;0;7.5;105;0;50;20;0;107;0;0.82;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;677;41;140;86;0;154
18.8;0.0;0;0;0;7.5;105;0;50;20;0;106;0;0.81;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;675;41;140;86;0;150
19.18;0.0;0;0;0;7.5;105;0;50;20;0;107;0;0.82;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;41;140;86;0;150
19.59;0.0;0;0;0;7.5;104;0;50;20;0;107;0;0.82;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;679;41;141;85;0;154
20.0;0.0;0;0;0;7.5;104;0;50;20;0;107;0;0.82;1.0;1.0;0;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;679;41;141;86;0;154
