Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.62;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;155
1.84;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;154
2.23;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;154
2.64;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;155
3.03;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;676;;141;185;0;155
3.43;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;154
3.83;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;141
4.23;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;43;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;155
4.63;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;155
5.04;0.0;0;0;0;31;104;0;50;40;0;107;0;0.82;1.0;1.0;0;0;0;42;20;0.0;0.0;13.02;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;678;;141;185;0;154
