Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.64;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;100;0;154
2.04;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;100;0;140
2.25;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;100;0;140
2.65;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;100;0;154
3.05;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;675;;139;100;0;154
3.44;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;675;;139;100;0;154
3.84;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;675;;139;100;0;154
4.24;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;100;0;154
4.65;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;100;0;154
5.06;0.0;0;0;0;7.5;105;0;50;24;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;100;0;154
5.46;0.0;0;0;104;7.5;105;0;50;29;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;60.5;3.52;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;674;;139;100;0;154
5.85;0.0;0;0;104;7.5;105;0;50;29;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;60.5;3.52;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;675;;139;100;0;154
6.26;0.0;0;0;104;7.5;105;0;50;29;0;106;0;0.81;1.0;1.0;0;0;155;0;20;0.0;60.5;3.52;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;675;;139;100;0;154
6.66;0.0;0;0;62;7.5;105;0;50;29;0;107;0;0.82;1.0;1.0;0;0;155;0;20;0.0;36.0;3.52;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;677;;140;100;0;155
7.05;0.0;0;0;0;7.5;105;0;51;19;0;107;0;0.82;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;677;;139;100;0;146
7.46;0.0;0;0;0;7.5;104;0;51;19;0;107;0;0.82;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.4;1.184;0;0;0;0;1;1;0;0;0;1;0;677;;141;100;0;154
7.86;0.0;0;0;0;7.5;103;0;51;19;0;107;0;0.82;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;16.7;1.136;0;0;0;0;1;1;0;0;0;1;0;678;;143;100;0;155
8.27;0.0;0;0;0;7.5;103;0;51;19;0;107;0;0.82;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.4;1.252;0;0;0;0;1;1;0;0;0;1;0;678;;143;100;0;155
8.46;0.0;0;0;128;7.5;102;0;50;29;0;107;0;0.82;1.0;1.0;0;0;155;0;20;0.0;74.4;3.51;;345;128;14.7;19.3;1.313;0;0;0;0;1;0;0;0;0;1;0;678;;144;100;0;149
8.86;0.0;0;0;172;7.5;103;0;50;29;0;107;0;0.82;1.0;1.0;0;0;155;0;20;0.0;100.0;3.52;;345;128;14.7;17.1;1.163;0;0;0;0;1;0;0;0;0;1;0;678;;143;100;0;154
9.28;0.0;0;0;171;7.5;103;0;50;29;0;107;0;0.82;1.0;1.0;0;0;155;0;20;0.0;99.4;3.52;;345;128;14.7;16.6;1.129;0;0;0;0;1;0;0;0;0;1;0;678;;143;100;0;155
9.67;0.0;0;0;171;7.5;103;0;50;29;0;107;0;0.82;1.0;1.0;0;0;155;0;20;0.0;99.4;3.52;;345;128;14.7;18.1;1.231;0;0;0;0;1;0;0;0;0;1;0;677;;143;100;0;154
10.07;0.0;0;0;171;7.5;103;0;50;29;0;107;0;0.82;1.0;1.0;0;0;155;0;20;0.0;99.4;3.52;;345;128;14.7;18.6;1.265;0;0;0;0;1;0;0;0;0;1;0;677;;142;100;0;154
10.48;0.0;0;0;12;7.5;103;0;50;29;0;107;0;0.82;1.0;1.0;0;0;155;0;20;0.0;7.0;3.52;;345;128;14.7;16.7;1.136;0;0;0;0;1;0;0;0;0;1;0;677;;142;100;0;155
10.88;0.0;0;0;0;7.5;104;0;51;19;0;107;0;0.82;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.4;1.252;0;0;0;0;1;1;0;0;0;1;0;676;;141;100;0;154
11.28;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.5;1.259;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;149
11.67;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.5;1.19;0;0;0;0;1;1;0;0;0;1;0;675;;140;100;0;154
12.09;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.3;1.177;0;0;0;0;1;1;0;0;0;1;0;675;;140;100;0;154
12.47;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;19.5;1.327;0;0;0;0;1;1;0;0;0;1;0;675;;140;100;0;154
12.89;0.0;0;0;0;7.5;105;0;51;19;0;107;0;0.82;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.5;1.259;0;0;0;0;1;1;0;0;0;1;0;676;;140;100;0;154
13.29;0.0;0;0;0;7.5;105;0;51;19;0;107;0;0.82;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.8;1.279;0;0;0;0;1;1;0;0;0;1;0;676;;140;100;0;154
13.68;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.3;1.177;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;149
14.09;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;19.22;1.307;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;155
14.5;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;19.22;1.307;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;154
14.7;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;19.22;1.307;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;154
15.09;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.92;1.219;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;154
15.5;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.92;1.219;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;140
15.9;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.92;1.219;0;0;0;0;1;1;0;0;0;1;0;674;;141;100;0;154
16.3;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.22;1.171;0;0;0;0;1;1;0;0;0;1;0;674;;141;100;0;154
16.71;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.22;1.171;0;0;0;0;1;1;0;0;0;1;0;673;;141;100;0;154
17.1;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;16.72;1.137;0;0;0;0;1;1;0;0;0;1;0;673;;141;100;0;154
17.5;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;16.72;1.137;0;0;0;0;1;1;0;0;0;1;0;672;;140;100;0;154
17.9;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;16.72;1.137;0;0;0;0;1;1;0;0;0;1;0;673;;140;100;0;140
18.3;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.42;1.185;0;0;0;0;1;1;0;0;0;1;0;674;;140;100;0;154
18.71;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.42;1.185;0;0;0;0;1;1;0;0;0;1;0;673;;140;100;0;154
19.11;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.32;1.246;0;0;0;0;1;1;0;0;0;1;0;672;;140;100;0;154
19.52;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.32;1.246;0;0;0;0;1;1;0;0;0;1;0;671;;140;100;0;154
19.91;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.32;1.246;0;0;0;0;1;1;0;0;0;1;0;671;;140;100;0;140
20.33;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.72;1.273;0;0;0;0;1;1;0;0;0;1;0;671;;140;100;0;154
20.72;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.72;1.273;0;0;0;0;1;1;0;0;0;1;0;675;;141;100;0;154
20.91;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.72;1.273;0;0;0;0;1;1;0;0;0;1;0;674;;141;100;0;154
21.32;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.22;1.171;0;0;0;0;1;1;0;0;0;1;0;673;;141;100;0;154
21.73;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.22;1.171;0;0;0;0;1;1;0;0;0;1;0;673;;140;100;0;154
22.12;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;16.72;1.137;0;0;0;0;1;1;0;0;0;1;0;673;;140;100;0;154
22.54;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;16.72;1.137;0;0;0;0;1;1;0;0;0;1;0;673;;140;100;0;154
22.93;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;16.72;1.137;0;0;0;0;1;1;0;0;0;1;0;672;;140;100;0;154
23.33;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.32;1.178;0;0;0;0;1;1;0;0;0;1;0;674;;140;100;0;154
23.73;0.0;0;0;0;7.5;104;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;17.32;1.178;0;0;0;0;1;1;0;0;0;1;0;673;;141;100;0;154
24.13;0.0;0;0;0;7.5;105;0;51;19;0;106;0;0.81;1.0;1.0;0;0;155;0;19;0.0;0.0;3.52;;345;128;14.7;18.42;1.253;0;0;0;0;1;1;0;0;0;1;0;672;;140;100;0;140
