Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.44;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;665;;135;134;0;150
1.64;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;665;;135;134;0;150
1.82;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;665;;135;134;0;150
2.03;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;664;;136;133;0;154
2.44;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;663;;136;133;0;154
2.84;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;662;;136;133;0;154
3.24;0.0;0;0;20;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;136;133;0;154
3.64;0.0;0;0;20;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;136;133;0;150
4.04;0.0;0;0;20;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;667;;136;133;0;150
4.45;0.0;0;0;21;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;667;;136;133;0;51
4.85;0.0;0;0;20;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;667;;137;133;0;154
5.26;0.0;0;0;21;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;154
5.66;0.0;0;0;20;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;154
6.05;0.0;0;0;20;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;667;;136;133;0;73
6.47;0.0;0;0;19;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.0;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;136;133;0;150
6.86;0.0;0;0;19;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.0;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;136;133;0;150
7.26;0.0;0;0;19;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.0;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;150
7.66;0.0;0;0;19;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.0;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;667;;137;133;0;154
7.87;0.0;0;0;20;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;154
8.26;0.0;0;0;19;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.0;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;153
8.67;0.0;0;0;20;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;154
9.08;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;136;133;0;154
9.48;0.0;0;0;21;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;154
9.88;0.0;0;0;21;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;666;;137;133;0;155
10.27;0.0;0;0;21;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;665;;137;133;0;154
10.67;0.0;0;0;21;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;665;;137;133;0;154
11.09;0.0;0;0;21;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;664;;136;133;0;148
11.48;0.0;0;0;20;6.25;92;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;11.6;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;664;;136;133;0;51
11.88;0.0;0;0;21;6.25;91;0;50;36;0;105;0;0.8;1.0;1.0;0;0;130;0;20;0.0;12.2;2.96;;345;128;14.7;;;0;0;0;0;1;0;0;0;0;1;0;665;;137;133;0;150
