Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.62;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;136;128;0;154
2.01;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;136;128;0;153
2.44;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;136;128;0;153
2.83;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;136;128;0;154
3.22;0.0;0;0;0;5.0;91;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;673;;137;128;0;154
3.64;0.0;0;0;0;5.0;91;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;673;;137;128;0;154
4.03;0.0;0;0;0;5.0;91;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;673;;137;127;0;154
4.44;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;;136;128;0;154
4.83;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;671;;136;127;0;154
5.23;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;136;127;0;154
5.45;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;;136;127;0;154
5.84;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;136;127;0;154
6.24;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;136;127;0;154
6.64;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;671;;136;127;0;140
7.04;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;136;127;0;154
7.46;0.0;0;0;0;5.0;92;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;672;;136;127;0;154
7.86;0.0;0;0;0;5.0;91;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;673;;137;127;0;154
8.26;0.0;0;0;0;5.0;91;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.46;;345;128;14.7;10.71;0.729;0;0;0;0;1;1;0;0;0;1;0;673;;137;127;0;154
8.66;0.0;0;0;0;5.0;89;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.44;;345;128;14.7;10.71;0.729;0;0;0;0;1;1;0;0;0;1;0;673;;139;127;0;154
9.06;0.0;0;0;0;5.0;89;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.44;;345;128;14.7;10.71;0.729;0;0;0;0;1;1;0;0;0;1;0;673;;139;127;0;154
9.46;0.0;0;0;0;5.0;89;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.44;;345;128;14.7;10.51;0.715;0;0;0;0;1;1;0;0;0;1;0;673;;139;127;0;154
9.85;0.0;0;0;0;5.0;89;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.44;;345;128;14.7;10.51;0.715;0;0;0;0;1;1;0;0;0;1;0;671;;139;127;0;154
10.27;0.0;0;0;0;5.0;90;0;50;33;0;106;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.0;2.45;;345;128;14.7;10.81;0.735;0;0;0;0;1;1;0;0;0;1;0;670;;138;127;0;153
