Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.44;0.0;0;0;1;5.0;92;0;50;32;0;106;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;136;127;0;154
1.64;0.0;0;0;1;5.0;92;0;50;32;0;106;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;136;127;0;154
2.03;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;149
2.43;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;149
2.84;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;50
3.25;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;148
3.65;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
4.04;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
4.46;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;146
4.86;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;149
5.25;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
5.66;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
6.07;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;150
6.28;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
6.67;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
7.08;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;150
7.47;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
7.89;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
8.29;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;149
8.68;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;150
9.1;0.0;0;0;1;5.0;92;0;50;32;0;105;0;0.8;1.0;1.0;0;0;135;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;136;127;0;154
