Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
6.81;0.0;0;0;0;19;107;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.04;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;671;;137;168;0;154
7.21;0.0;0;0;0;19;106;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;138;168;0;140
7.61;0.0;0;0;0;19;106;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;138;168;0;140
8.01;0.0;0;0;0;19;106;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;671;;138;168;0;153
8.42;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;671;;139;169;0;154
8.82;0.0;0;0;0;19;106;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;138;169;0;154
9.22;0.0;0;0;0;19;106;0;50;40;0;105;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;138;168;0;154
9.63;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;140;169;0;154
10.02;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;668;;139;168;0;154
10.43;0.0;0;0;0;19;105;0;50;40;0;105;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;667;;139;168;0;154
10.84;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;671;;139;168;0;153
11.04;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;671;;139;168;0;154
11.43;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;139;169;0;154
11.84;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;139;169;0;153
12.25;0.0;0;0;0;19;105;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;670;;139;168;0;154
12.65;0.0;0;0;0;19;106;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;138;168;0;154
13.04;0.0;0;0;0;19;106;0;50;40;0;106;0;0.8;1.0;1.0;0;0;103;0;20;0.0;0.0;8.03;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;669;;138;168;0;154
13.45;115;68;68;0;19;123;0;60;16;0;94;1;0.73;1.0;1.0;0;0;103;0;10;8.5;0.0;8.12;1.8;345;128;14.7;;;0;0;0;1;1;1;1;0;0;1;0;576;;115;167;0;149
13.85;128;56;56;0;18;122;0;54;16;0;93;1;0.72;1.0;1.0;0;0;104;0;16;7.0;0.0;7.61;1.9;345;128;14.7;;;0;1;0;1;1;1;1;0;0;1;0;573;;117;167;0;148
14.25;179;65;65;0;16;120;0;54;16;0;94;3;0.73;1.0;1.0;0;0;104;0;16;8.12;0.0;7.1;2.4;345;128;14.7;;;0;1;0;1;1;1;1;0;0;1;0;577;;118;167;0;149
14.65;896;62;62;0;12;115;0;54;16;0;84;10;0.65;1.0;1.0;0;0;104;0;16;7.75;0.0;5.24;8.7;345;128;13.94;22.32;1.601;0;1;0;0;1;1;0;0;0;1;0;505;;126;167;0;141
15.05;1716;19;19;0;6.02;94;0;26;44;0;49;7;0.37;1.0;1.0;0;0;104;0;44;2.38;0.0;2.88;8.6;345;128;14.7;22.32;1.518;0;1;0;0;1;1;0;0;0;1;0;247;;155;169;0;75
15.45;1729;14;14;0;4.86;93;0;27;43;0;45;5;0.33;1.0;1.0;0;0;104;0;43;1.75;0.0;2.41;7.0;345;128;14.7;13.11;0.892;0;1;0;0;1;1;0;0;0;1;0;210;;156;169;0;72
15.85;1614;14;14;0;4.73;95;0;28;41;0;45;5;0.32;1.0;1.0;0;0;104;0;42;1.75;0.0;2.37;6.4;345;128;14.7;13.11;0.892;0;1;0;0;1;1;0;0;0;1;0;210;;154;169;0;38
16.25;1255;14;14;0;4.86;95;0;32;37;0;47;4;0.33;1.0;1.0;0;0;104;0;38;1.75;0.0;2.42;5.1;345;128;14.7;13.11;0.892;0;1;0;0;1;1;0;0;0;1;0;224;;154;169;0;74
