Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
6.21;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;653;;136;127;0;154
6.61;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;654;;136;128;0;141
7.02;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;654;;136;128;0;141
7.23;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;656;;136;128;0;154
7.63;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;655;;136;128;0;153
8.03;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;654;;136;128;0;154
8.42;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;653;;136;128;0;154
8.83;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;652;;136;127;0;153
9.22;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;654;;136;128;0;154
9.64;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;656;;136;128;0;114
10.03;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;656;;136;128;0;153
10.43;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;655;;136;128;0;154
10.84;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;655;;136;128;0;114
11.23;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;654;;136;128;0;154
11.64;0.0;0;0;1;5.0;92;0;50;33;0;104;0;0.8;1.0;1.0;0;0;133;0;20;0.0;0.6;2.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;656;;136;128;0;154
