Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.62;0.0;0;0;0;15;90;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;138;175;0;155
2.02;0.0;0;0;0;15;90;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;138;175;0;51
2.24;0.0;0;0;0;15;90;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;138;175;0;51
2.64;0.0;0;0;0;15;90;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;138;175;0;150
3.03;0.0;0;0;0;15;90;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;138;175;0;155
3.45;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;155
3.85;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;155
4.24;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;149
4.65;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;150
5.06;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;681;;139;175;0;150
5.44;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;155
5.86;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;155
6.26;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;155
6.65;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;155
7.05;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;49
7.46;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;150
7.86;0.0;0;0;0;15;89;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;139;175;0;149
8.27;0.0;0;0;0;15;90;0;50;40;0;107;0;0.7;1.0;1.0;0;0;96;0;20;0.0;0.0;6.45;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;138;175;0;155
