Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
17.15;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;140;121;0;155
17.56;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;140;121;0;152
17.75;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;140;121;0;152
18.17;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;681;;140;121;0;150
18.56;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;682;;140;121;0;155
18.97;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;150
19.37;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;155
19.76;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;51
20.17;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;10.71;0.729;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;155
20.57;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;10.71;0.729;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;114
20.97;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;10.6;0.721;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;155
21.39;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;10.6;0.721;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;148
21.79;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;10.6;0.721;0;0;0;0;1;1;0;0;0;1;0;683;;140;121;0;155
22.18;0.0;0;0;0;5.0;88;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;13.21;0.899;0;0;0;0;1;1;0;0;0;1;0;683;;141;121;0;155
22.59;0.0;0;0;0;5.0;88;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;13.21;0.899;0;0;0;0;1;1;0;0;0;1;0;683;;141;121;0;150
22.99;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;12.21;0.831;0;0;0;0;1;1;0;0;0;1;0;683;;140;120;0;151
23.4;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;12.21;0.831;0;0;0;0;1;1;0;0;0;1;0;683;;140;120;0;150
23.59;0.0;0;0;0;5.0;89;0;50;30;0;107;0;0.71;1.0;1.0;0;0;141;0;20;0.0;0.0;2.44;;345;128;14.7;12.21;0.831;0;0;0;0;1;1;0;0;0;1;0;683;;140;120;0;151
23.99;51;22;22;0;5.0;112;0;62;8;0;91;0;0.61;1.0;1.0;0;0;141;0;8;2.75;0.0;2.56;0.2;345;128;14.7;14.51;0.987;0;1;0;1;1;1;1;0;0;1;0;556;;108;117;0;149
24.39;1511;32;32;0;5.22;76;0;40;30;0;61;11;0.52;1.0;1.0;0;0;143;0;30;4.0;0.0;2.47;6.6;345;128;14.7;14.51;0.987;0;1;0;0;1;1;0;0;0;1;0;334;;158;116;0;86
24.8;1306;20;20;0;3.56;71;0;41;29;0;53;6;0.38;1.0;1.0;0;0;143;0;29;2.5;0.0;1.78;3.9;345;128;14.7;14.51;0.987;0;1;0;0;1;1;0;0;0;1;0;275;;164;116;0;78
25.19;1268;21;21;0;3.66;71;0;45;25;0;54;5;0.4;1.0;1.0;0;0;143;0;25;2.62;0.0;1.82;3.9;345;128;14.7;9.51;0.647;0;1;0;0;1;1;0;0;0;1;0;283;;164;116;0;82
25.6;1114;20;20;0;3.56;71;0;45;24;0;54;5;0.38;1.0;1.0;0;0;143;0;25;2.5;0.0;1.78;3.3;345;128;14.7;9.51;0.647;0;1;0;0;1;1;0;0;0;1;0;281;;164;116;0;82
26.01;1037;21;21;0;3.66;71;0;46;24;0;55;5;0.4;1.0;1.0;0;0;143;0;24;2.62;0.0;1.82;3.2;345;128;14.7;10.91;0.742;0;1;0;0;1;1;0;0;0;1;0;285;;164;116;0;40
26.4;999;21;21;0;3.68;71;0;46;24;0;55;5;0.39;1.0;1.0;0;0;143;0;24;2.62;0.0;1.83;3.1;345;128;14.7;10.91;0.742;0;1;0;0;1;1;0;0;0;1;0;291;;165;116;0;82
26.8;1037;23;23;0;3.86;71;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.88;0.0;1.9;3.3;345;128;14.7;10.91;0.742;0;1;0;0;1;1;0;0;0;1;0;299;;165;116;0;83
27.22;1012;23;23;0;3.83;71;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.88;0.0;1.89;3.2;345;128;14.47;11.21;0.775;0;1;0;0;1;1;0;0;0;1;0;296;;165;116;0;83
27.6;986;23;23;0;3.81;71;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.88;0.0;1.88;3.1;345;128;14.47;11.21;0.775;0;1;0;0;1;1;0;0;0;1;0;299;;165;116;0;74
28.01;1050;23;23;0;3.83;71;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.88;0.0;1.89;3.4;345;128;14.7;10.91;0.742;0;1;0;0;1;1;0;0;0;1;0;299;;165;116;0;83
28.41;1012;22;22;0;3.75;70;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.75;0.0;1.85;3.2;345;128;14.7;10.91;0.742;0;1;0;0;1;1;0;0;0;1;0;295;;164;116;0;82
28.82;1012;23;23;0;3.76;69;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.88;0.0;1.85;3.2;345;128;14.47;10.91;0.754;0;1;0;0;1;1;0;0;0;1;0;296;;167;116;0;83
29.21;1050;24;24;0;3.91;69;0;46;24;0;57;5;0.43;1.0;1.0;0;0;143;0;24;3.0;0.0;1.91;3.4;345;128;14.7;11.41;0.776;0;1;0;0;1;1;0;0;0;1;0;300;;167;116;0;83
29.61;1063;23;23;0;3.76;69;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.88;0.0;1.85;3.3;345;128;14.7;11.41;0.776;0;1;0;0;1;1;0;0;0;1;0;297;;167;116;0;83
29.82;1089;23;23;0;3.76;69;0;46;24;0;56;5;0.42;1.0;1.0;0;0;143;0;24;2.88;0.0;1.85;3.4;345;128;14.7;11.41;0.776;0;1;0;0;1;1;0;0;0;1;0;294;;167;117;0;82
30.22;1012;22;22;0;3.68;69;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.75;0.0;1.82;3.1;345;128;14.7;11.51;0.783;0;1;0;0;1;1;0;0;0;1;0;293;;167;117;0;82
30.61;1012;22;22;0;3.66;69;0;46;24;0;56;5;0.41;1.0;1.0;0;0;143;0;24;2.75;0.0;1.81;3.1;345;128;14.7;11.51;0.783;0;1;0;0;1;1;0;0;0;1;0;293;;167;117;0;40
31.04;999;24;24;0;3.82;70;0;46;24;0;57;5;0.42;1.0;1.0;0;0;143;0;24;3.0;0.0;1.88;3.2;345;128;14.47;12.81;0.885;0;1;0;0;1;1;0;0;0;1;0;301;;166;117;0;82
31.43;1089;23;23;0;3.77;70;0;41;29;0;56;5;0.42;1.0;1.0;0;0;143;0;29;2.88;0.0;1.86;3.4;345;128;14.7;12.81;0.871;0;1;0;0;0;1;0;0;0;1;0;297;;166;117;0;104
31.83;1153;23;23;0;3.72;70;0;41;29;0;56;6;0.43;1.0;1.0;0;0;143;0;29;2.88;0.0;1.84;3.6;345;128;14.7;12.81;0.871;0;1;0;0;0;1;0;0;0;1;0;293;;166;117;0;83
32.22;1089;21;21;0;3.47;70;0;41;29;0;55;5;0.4;1.0;1.0;0;0;143;0;29;2.62;0.0;1.74;3.1;345;128;14.7;12.91;0.878;0;1;0;0;0;1;0;0;0;1;0;286;;164;117;0;81
32.63;845;23;23;0;3.78;71;0;41;29;0;58;4;0.41;1.0;1.0;0;0;143;0;29;2.88;0.0;1.87;2.7;345;128;14.47;12.91;0.892;0;1;0;0;0;1;0;0;0;1;0;314;;165;117;0;84
33.04;935;28;28;0;4.31;73;0;41;29;0;61;6;0.46;1.0;1.0;0;0;143;0;29;3.5;0.0;2.09;3.4;345;128;14.47;12.31;0.851;0;1;0;0;0;1;0;0;0;1;0;335;;162;117;0;41
33.45;922;26;26;0;4.12;72;0;41;29;0;60;5;0.45;1.0;1.0;0;0;143;0;29;3.25;0.0;2.01;3.2;345;128;14.47;12.31;0.851;0;1;0;0;0;1;0;0;0;1;0;320;;163;117;0;85
33.85;973;28;28;0;4.3;70;0;41;29;0;61;6;0.47;1.0;1.0;0;0;143;0;29;3.5;0.0;2.07;3.5;345;128;14.47;12.31;0.851;0;1;0;0;0;1;0;0;0;1;0;333;;166;117;0;86
34.25;999;28;28;0;4.26;71;0;41;29;0;61;6;0.47;1.0;1.0;0;0;143;0;29;3.5;0.0;2.06;3.5;345;128;14.47;11.11;0.768;0;1;0;0;0;1;0;0;0;1;0;330;;165;117;0;85
34.65;973;28;28;0;4.31;71;0;41;29;0;61;6;0.47;1.0;1.0;0;0;143;0;29;3.5;0.0;2.08;3.5;345;128;14.47;11.11;0.768;0;1;0;0;0;1;0;0;0;1;0;331;;165;117;0;86
35.04;948;28;28;0;4.21;71;0;41;29;0;61;6;0.46;1.0;1.0;0;0;143;0;29;3.5;0.0;2.04;3.3;345;128;14.47;11.31;0.782;0;1;0;0;0;1;0;0;0;1;0;329;;165;117;0;81
35.45;986;27;27;0;4.12;72;0;41;29;0;60;6;0.46;1.0;1.0;0;0;143;0;29;3.38;0.0;2.01;3.4;345;128;14.47;11.31;0.782;0;1;0;0;0;1;0;0;0;1;0;325;;163;117;0;85
35.64;973;27;27;0;4.12;74;0;41;29;0;60;6;0.46;1.0;1.0;0;0;143;0;29;3.38;0.0;2.02;3.3;345;128;14.47;11.31;0.782;0;1;0;0;0;1;0;0;0;1;0;325;;161;117;0;85
36.04;999;28;28;0;4.21;71;0;41;29;0;61;6;0.47;1.0;1.0;0;0;143;0;29;3.5;0.0;2.04;3.5;345;128;14.47;11.71;0.809;0;1;0;0;0;1;0;0;0;1;0;332;;165;117;0;86
36.45;973;27;27;0;4.15;74;0;41;29;0;60;6;0.46;1.0;1.0;0;0;143;0;29;3.38;0.0;2.03;3.4;345;128;14.47;11.71;0.809;0;1;0;0;0;1;0;0;0;1;0;326;;160;117;0;85
