Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
6.0;0.0;0;0;0;11;86;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;702;;144;167;0;155
6.22;0.0;0;0;0;11;86;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;702;;144;167;0;155
6.61;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;163
7.01;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;163
7.42;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;156
7.81;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;146
8.23;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;163
8.63;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;156
9.02;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;156
9.43;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;156
9.84;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;163
10.23;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;156
10.65;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;701;;143;167;0;156
10.84;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;701;;143;167;0;156
11.24;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;701;;143;167;0;156
11.64;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;156
12.05;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;155
12.44;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;700;;143;167;0;156
12.85;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;701;;143;167;0;156
13.24;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;701;;143;167;0;156
13.65;0.0;0;0;0;11;87;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.94;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;701;;143;167;0;156
14.05;0.0;0;0;0;11;86;0;50;40;0;110;0;0.73;1.0;1.0;0;0;103;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;701;;144;167;0;156
