Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.63;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;22;16;0.0;0.0;2.44;;345;128;14.7;18.52;1.26;0;0;0;0;1;1;0;0;0;1;0;693;;143;91;0;255
2.03;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;23;16;0.0;0.0;2.44;;345;128;14.7;23.72;1.614;0;0;0;0;1;1;0;0;0;1;0;695;;143;91;0;255
2.45;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;23;16;0.0;0.0;2.44;;345;128;14.7;23.72;1.614;0;0;0;0;1;1;0;0;0;1;0;695;;143;91;0;255
2.83;0.0;0;0;0;5.0;86;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;23;16;0.0;0.0;2.43;;345;128;14.7;23.72;1.614;0;0;0;0;1;1;0;0;0;1;0;697;;144;91;0;255
3.24;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;23;16;0.0;0.0;2.44;;345;128;14.7;22.93;1.56;0;0;0;0;1;1;0;0;0;1;0;695;;143;91;0;255
3.65;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;23;16;0.0;0.0;2.44;;345;128;14.7;22.93;1.56;0;0;0;0;1;1;0;0;0;1;0;695;;143;91;0;255
4.04;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;21;16;0.0;0.0;2.44;;345;128;14.7;24.92;1.695;0;0;0;0;1;1;0;0;0;1;0;693;;143;91;0;255
4.44;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;21;16;0.0;0.0;2.44;;345;128;14.7;24.92;1.695;0;0;0;0;1;1;0;0;0;1;0;692;;142;91;0;255
4.84;0.0;0;0;0;5.0;87;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;16;16;0.0;0.0;2.44;;345;128;14.7;24.92;1.695;0;0;0;0;1;1;0;0;0;1;0;693;;142;91;0;255
5.24;0.0;0;0;0;5.0;88;0;54;16;0;109;0;0.73;1.0;1.0;0;0;162;16;16;0.0;0.0;2.44;;345;128;14.7;24.12;1.641;0;0;0;0;1;1;0;0;0;1;0;693;;141;91;0;255
