Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
21.97;0.0;0;0;0;5.0;80;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.4;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;152;48;0;141
22.38;0.0;0;0;0;5.0;81;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.41;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;151;48;0;156
22.77;0.0;0;0;0;5.0;79;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.4;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;153;48;0;155
23.18;0.0;0;0;0;5.0;79;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.4;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;152;48;0;156
23.59;0.0;0;0;0;5.0;80;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.4;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;152;48;0;146
23.98;0.0;0;0;0;5.0;80;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.4;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;152;48;0;156
24.39;0.0;0;0;0;5.0;80;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.4;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;152;48;0;141
24.77;0.0;0;0;0;5.0;80;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.4;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;708;;152;48;0;156
24.99;0.0;0;0;0;5.0;87;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;705;;143;48;0;146
25.38;0.0;0;0;0;5.0;87;0;50;20;0;111;0;0.74;1.0;1.0;0;0;210;0;20;0.0;0.0;2.44;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;705;;142;48;0;156
