Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
1.44;781;29;29;0;3.61;71;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.62;0.0;1.8;2.3;345;128;14.47;11.71;0.809;0;1;0;0;1;1;0;0;0;1;0;341;;165;53;0;86
1.64;781;29;29;0;3.61;71;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.62;0.0;1.8;2.3;345;128;14.47;11.71;0.809;0;1;0;0;1;1;0;0;0;1;0;341;;165;53;0;86
1.83;781;29;29;0;3.61;71;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.62;0.0;1.8;2.3;345;128;14.47;11.71;0.809;0;1;0;0;1;1;0;0;0;1;0;341;;165;53;0;86
2.23;781;29;29;0;3.61;71;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.62;0.0;1.8;2.3;345;128;14.47;11.71;0.809;0;1;0;0;1;1;0;0;0;1;0;341;;165;53;0;86
2.64;845;31;31;0;3.78;71;0;55;15;0;63;5;0.48;1.0;1.0;0;0;205;0;15;3.88;0.0;1.87;2.7;345;128;14.59;11.71;0.803;0;1;0;0;1;1;0;0;0;1;0;349;;164;53;0;86
3.03;845;30;30;0;3.71;71;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.75;0.0;1.84;2.6;345;128;14.47;11.21;0.775;0;1;0;0;1;1;0;0;0;1;0;339;;164;53;0;86
3.44;781;29;29;0;3.62;72;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.62;0.0;1.81;2.4;345;128;14.47;11.21;0.775;0;1;0;0;1;1;0;0;0;1;0;337;;164;53;0;86
3.85;807;29;29;0;3.67;72;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.62;0.0;1.83;2.5;345;128;14.47;11.61;0.802;0;1;0;0;1;1;0;0;0;1;0;340;;163;53;0;86
4.04;871;30;30;0;3.78;73;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.75;0.0;1.88;2.7;345;128;14.47;11.61;0.802;0;1;0;0;1;1;0;0;0;1;0;342;;162;53;0;86
4.45;832;29;29;0;3.68;73;0;55;15;0;62;5;0.48;1.0;1.0;0;0;205;0;15;3.62;0.0;1.84;2.6;345;128;14.47;11.61;0.802;0;1;0;0;1;1;0;0;0;1;0;338;;162;53;0;40
