Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.83;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;151
1.21;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;164
1.62;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;164
2.01;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;164
2.21;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;152
2.63;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;150
3.02;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;164
3.42;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;164
3.83;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;51
4.24;0.0;0;0;0;11;86;0;50;40;0;100;0;0.82;1.0;1.0;0;0;104;0;20;0.0;0.0;4.93;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;706;;144;165;0;151
