Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);AFR возраст, с;Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.62;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;139;171;0;156
1.02;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;139;171;0;156
1.42;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
1.82;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
2.23;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
2.63;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
3.03;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
3.42;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
3.83;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;139;171;0;156
4.23;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;146
4.64;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
5.05;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
5.43;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
5.84;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;163
6.25;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
6.44;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
6.85;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
7.24;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;163
7.65;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
8.06;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;163
8.46;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
8.86;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
9.26;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
9.65;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
10.06;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
10.46;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
10.86;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
11.27;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
11.67;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;163
12.08;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
12.46;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
12.68;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
13.09;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;163
13.49;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
13.88;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;164
14.28;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
14.69;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
15.1;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
15.5;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;156
15.88;0.0;0;0;0;12;89;0;50;40;0;100;0;0.74;1.0;1.0;0;0;99;0;20;0.0;0.0;5.45;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;705;;140;171;0;155
