Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);AFR возраст, с;Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.42;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;164
0.8;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;164
1.22;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;164
1.62;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;164
2.03;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;164
2.43;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;713;;139;193;0;164
2.84;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;150
3.21;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;164
3.63;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;713;;139;193;0;163
3.82;0.0;0;0;0;24;89;0;50;40;0;101;0;0.74;1.0;1.0;0;0;80;0;20;0.0;0.0;9.95;;345;128;14.7;;;;0;0;0;0;1;1;0;0;0;1;0;712;;140;193;0;153
