время_с;Обороты;Нагрузка (сглаж.);Расход мгновенный;ALPHA;Впрыск расчёт;Впрыск РЕАЛ (форс);TPS дроссель;TPS открытие;Обогащ. ускорения;Флаг TPS;VE выбранное;Ktps выбранное;Флаг ХХ/газ;Банк концевиков;Флаги угла;Замкнутый цикл;УОЗ финал сырьё;УОЗ карта;Цель ХХ;АЦП ch0 MAF;АЦП ch1 напряжение;АЦП ch2 темп ОЖ;АЦП ch3 O2;peek ($1600);УОЗ_°BTDC;TP_%8;AFR_цель;AFR_факт;поправка_VE;давление_кПа;Загрузка_форс_%;Газ_%;K_форс;КМ
0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
