Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.4;;;;;;;;;;;;;;;;;;;;;;;;;;14.1;;;;;;;;;;;;;;;;;;
0.61;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.1;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
1.02;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
1.41;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
1.81;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
2.22;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.6;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
2.61;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;41
3.02;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;49
3.43;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.4;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;109
3.83;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
4.03;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
4.43;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
4.82;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.6;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;108
5.25;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;49
5.63;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;41
6.05;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
6.44;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
6.84;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.1;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;43
7.04;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;108
7.45;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;50
7.85;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.4;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
8.25;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.1;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
8.65;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;35
9.06;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;49
9.47;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;41
9.86;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
10.27;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.3;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
10.46;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
10.87;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;108
11.25;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;49
11.68;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.1;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;109
12.08;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.6;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
12.47;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;109
12.87;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;49
13.27;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.4;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;108
13.68;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;16.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
13.89;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.4;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;41
14.29;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;49
14.68;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;14.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;108
15.1;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;50
15.5;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;109
15.9;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;49
16.29;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;15.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
16.71;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;14.6;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
16.9;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.3;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
17.29;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;16.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;80;0;38
17.71;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;41
18.11;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;49
18.51;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;108
18.92;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;16.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;80;0;49
19.32;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.3;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;109
19.72;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.4;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;50
20.12;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;14.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;80;0;38
20.3;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;15.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;80;0;38
20.71;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.5;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
21.12;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;40
21.53;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;109
21.92;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;14.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;50
22.33;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
22.73;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
23.13;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;17.6;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;80;0;38
23.53;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;15.6;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;80;0;38
23.74;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.3;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;80;0;38
24.14;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;80;0;50
