Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
7.13;0.0;0;0;0;7.5;97;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.48;;;;;;;0;0;0;0;1;1;0;0;0;1;0;690;43;151;65;0;45
7.52;0.0;0;0;0;7.5;98;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.49;;;;;;;0;0;0;0;1;1;0;0;0;1;0;689;43;149;65;0;155
7.92;0.0;0;0;0;7.5;95;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.48;;;;;;;0;0;0;0;1;1;0;0;0;1;0;689;43;153;65;0;49
8.32;0.0;0;0;0;7.5;97;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.48;;;;;;;0;0;0;0;1;1;0;0;0;1;0;686;43;150;65;0;155
8.72;0.0;0;0;0;7.5;97;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.48;;;;;;;0;0;0;0;1;1;0;0;0;1;0;685;43;150;65;0;153
9.13;0.0;0;0;0;7.5;97;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.48;;;;;;;0;0;0;0;1;1;0;0;0;1;0;685;43;151;65;0;73
9.53;0.0;0;0;0;7.5;97;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.48;;;;;;;0;0;0;0;1;1;0;0;0;1;0;685;43;150;65;0;155
9.74;0.0;0;0;0;7.5;97;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.48;;;;;;;0;0;0;0;1;1;0;0;0;1;0;682;43;150;65;0;45
10.14;0.0;0;0;0;7.5;103;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;683;43;143;65;0;155
10.54;0.0;0;0;0;7.5;102;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.51;;;;;;;0;0;0;0;1;1;0;0;0;1;0;681;43;144;65;0;45
10.94;0.0;0;0;0;7.5;103;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;681;43;142;65;0;150
11.34;0.0;0;0;0;7.5;102;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.51;;;;;;;0;0;0;0;1;1;0;0;0;1;0;682;43;144;65;0;155
11.75;0.0;0;0;0;7.5;103;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;683;43;142;65;0;74
12.15;0.0;0;0;0;7.5;102;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.51;;;;;;;0;0;0;0;1;1;0;0;0;1;0;682;43;144;65;0;155
12.54;0.0;0;0;0;7.5;103;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;683;43;142;65;0;155
12.95;0.0;0;0;0;7.5;103;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;142;65;0;150
13.36;0.0;0;0;0;7.5;102;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.51;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;144;65;0;155
13.77;0.0;0;0;0;7.5;103;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;142;65;0;150
14.17;0.0;0;0;0;7.5;102;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.51;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;144;65;0;151
14.57;0.0;0;0;0;7.5;103;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;142;65;0;155
14.96;0.0;0;0;0;7.5;102;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.51;;;;;;;0;0;0;0;1;1;0;0;0;1;0;687;43;144;65;0;149
15.36;0.0;0;0;0;7.5;103;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;682;43;142;65;0;155
15.57;0.0;0;0;0;7.5;102;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.51;;;;;;;0;0;0;0;1;1;0;0;0;1;0;685;43;144;65;0;155
15.97;0.0;0;0;0;7.5;103;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;142;65;0;150
16.37;0.0;0;0;0;7.5;103;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;142;65;0;155
16.76;0.0;0;0;0;7.5;103;0;64;50;20;0;107;0;0.68;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;682;43;143;65;0;150
17.17;0.0;0;0;0;7.5;103;0;64;50;20;0;108;0;0.69;1.0;1.0;0;0;20;0.0;0.0;3.52;;;;;;;0;0;0;0;1;1;0;0;0;1;0;684;43;142;65;0;150
