Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;Расход (прослойка);VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;Индекс температурных таблиц;РХХ / контур холостого;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
16.0;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;42;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;140;186;0;154
16.19;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;42;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;140;186;0;154
16.4;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;42;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;140;186;0;154
16.79;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;42;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;140;186;0;154
17.2;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;155
17.6;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;154
18.02;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;672;;139;186;0;154
18.42;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;671;;138;186;0;154
18.82;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;671;;138;186;0;154
19.21;0.0;0;0;0;32;107;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.54;;;;;;;0;0;0;0;1;1;0;0;0;1;0;671;;137;186;0;154
19.41;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;138;186;0;154
19.82;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;138;186;0;140
20.22;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;138;186;0;155
20.63;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;138;186;0;154
21.03;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;138;186;0;154
21.42;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;671;;138;186;0;154
21.83;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;672;;138;186;0;140
22.24;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;138;186;0;154
22.62;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;672;;138;186;0;154
23.04;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;672;;138;186;0;154
23.43;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;154
23.84;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;146
24.24;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;138;186;0;155
24.64;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;138;186;0;154
25.03;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;672;;138;186;0;154
25.45;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;675;;138;186;0;155
25.66;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;675;;139;186;0;154
26.04;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;675;;139;186;0;154
26.45;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;138;186;0;154
26.85;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;138;186;0;140
27.27;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;155
27.67;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;139;186;0;154
28.05;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;154
28.46;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;138;186;0;154
28.86;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;154
29.27;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;186;0;155
29.68;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;673;;138;185;0;155
30.08;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;672;;138;185;0;154
30.48;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;185;0;154
30.87;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;185;0;163
31.28;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;185;0;155
31.48;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;138;185;0;154
31.87;0.0;0;0;0;32;105;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;674;;139;185;0;154
32.29;0.0;0;0;0;32;106;0;50;40;0;;;;;1.0;0;0;0;43;20;0.0;0.0;13.53;;;;;;;0;0;0;0;1;1;0;0;0;1;0;670;;138;185;0;154
